dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.637797,1.212912,0.037500,0.375000,1.875000,9.375000,0.672574
0.200000,6.723631,1.281747,0.147525,0.550127,0.875636,-4.996818,0.680073
0.200000,6.861950,1.396086,0.326985,0.897295,1.735840,4.301020,0.704426
0.200000,7.037726,1.555380,0.564201,1.186084,1.443943,-1.459484,0.780873
0.200000,7.166082,1.708710,0.764165,0.999819,-0.931325,-11.876342,1.082298
0.200000,7.222713,1.548236,0.934339,0.850870,-0.744747,0.932889,2.529850
0.200000,7.074225,1.589561,1.088471,0.770658,-0.401056,1.718455,2.970379
0.200000,6.814899,1.616087,1.349150,1.303395,2.663684,15.323699,3.089087
0.200000,6.538313,1.621872,1.625796,1.383231,0.399181,-11.322512,3.150485
0.200000,6.265488,1.608210,1.898963,1.365836,-0.086979,-2.430800,3.231569
0.200000,5.991906,1.573175,2.174779,1.379080,0.066223,0.766008,3.304667
0.200000,5.718028,1.518937,2.453976,1.395983,0.084514,0.091457,3.367568
0.200000,5.444025,1.448172,2.736970,1.414970,0.094932,0.052088,3.419007
0.200000,5.169731,1.363865,3.023928,1.434790,0.099100,0.020842,3.458472
0.200000,4.894646,1.269141,3.314864,1.454682,0.099463,0.001813,3.485909
0.200000,4.617971,1.167176,3.609730,1.474330,0.098240,-0.006116,3.501457
0.200000,4.338666,1.061169,3.908476,1.493729,0.096992,-0.006237,3.505258
0.200000,4.055528,0.954375,4.211084,1.513042,0.096567,-0.002127,3.497351
0.200000,3.769903,0.851203,4.514773,1.518440,0.026991,-0.347881,3.474727
0.200000,3.472196,0.754731,4.827720,1.564738,0.231486,1.022474,3.435431
0.200000,3.171500,0.669939,5.140142,1.562110,-0.013139,-1.223122,3.397732
0.200000,2.868485,0.596409,5.451952,1.559049,-0.015304,-0.010824,3.361894
0.200000,2.563761,0.533608,5.763079,1.555637,-0.017062,-0.008793,3.328130
0.200000,2.257876,0.480915,6.073470,1.551955,-0.018410,-0.006741,3.296603
0.200000,1.951299,0.437640,6.383086,1.548080,-0.019372,-0.004807,3.267431
0.200000,1.644426,0.403042,6.691903,1.544082,-0.019990,-0.003089,3.240686
0.200000,1.337581,0.376355,6.999906,1.540019,-0.020319,-0.001645,3.216409
0.200000,1.031017,0.356796,7.307093,1.535935,-0.020418,-0.000498,3.194612
0.200000,0.724930,0.343578,7.613467,1.531866,-0.020346,0.000358,3.175285
0.200000,0.450747,0.336475,7.887741,1.371372,-0.802470,-3.910616,3.160024
0.200000,0.246444,0.333761,8.092062,1.021603,-1.748842,-4.731861,3.149903
0.200000,0.118552,0.333073,8.219956,0.639470,-1.910669,-0.809134,3.144108
0.200000,0.066836,0.333001,8.271672,0.258581,-1.904445,0.031120,3.141882
0.200000,0.060000,0.333000,8.278508,0.034181,-1.121998,3.912234,3.141593
0.200000,0.060000,0.333000,8.278508,0.000000,-0.170906,4.755457,3.141593
