dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.636904,1.212545,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,6.713541,1.276957,0.137611,0.500553,0.627765,-6.236176,0.718629
0.200000,6.827370,1.385154,0.294657,0.785233,1.423401,3.978181,0.810746
0.200000,6.933517,1.522655,0.468364,0.868535,0.416507,-5.034470,1.078384
0.200000,6.950847,1.549913,0.500664,0.161499,-3.535179,-19.758432,1.895816
0.200000,6.884581,1.610074,0.590166,0.447510,1.430059,24.826191,2.532582
0.200000,6.682999,1.714374,0.817132,1.134832,3.436605,10.032733,2.752593
0.200000,6.423645,1.808599,1.093072,1.379700,1.224345,-11.061304,2.808277
0.200000,6.145580,1.901693,1.386307,1.466174,0.432368,-3.959884,2.828762
0.200000,5.865618,1.989111,1.679599,1.466461,0.001435,-2.154664,2.849073
0.200000,5.583882,2.070873,1.972960,1.466802,0.001705,0.001352,2.869178
0.200000,5.300492,2.147007,2.266399,1.467194,0.001961,0.001278,2.889046
0.200000,5.015569,2.217556,2.559926,1.467635,0.002204,0.001215,2.908646
0.200000,4.729233,2.282569,2.853550,1.468121,0.002428,0.001120,2.927953
0.200000,4.441601,2.342109,3.147279,1.468648,0.002636,0.001039,2.946941
0.200000,4.152789,2.396246,3.441122,1.469213,0.002825,0.000945,2.965587
0.200000,3.862908,2.445061,3.735084,1.469812,0.002995,0.000849,2.983870
0.200000,3.572066,2.488642,4.029173,1.470441,0.003145,0.000752,3.001773
0.200000,3.280369,2.527084,4.323392,1.471096,0.003276,0.000654,3.019279
0.200000,2.987916,2.560489,4.617747,1.471774,0.003387,0.000557,3.036375
0.200000,2.694802,2.588965,4.912241,1.472470,0.003481,0.000468,3.053050
0.200000,2.401117,2.612623,5.206877,1.473181,0.003557,0.000379,3.069294
0.200000,2.106947,2.631582,5.501658,1.473904,0.003615,0.000293,3.085100
0.200000,1.812424,2.645959,5.796531,1.474367,0.002313,-0.006513,3.100461
0.200000,1.554503,2.654878,6.054606,1.290376,-0.919956,-4.611344,3.113532
0.200000,1.370176,2.659207,6.238985,0.921892,-1.842416,-4.612299,3.122658
0.200000,1.259578,2.661003,6.349597,0.553060,-1.844162,-0.008732,3.128047
0.200000,1.222724,2.661469,6.386454,0.184287,-1.843865,0.001487,3.129828
0.200000,1.222724,2.661469,6.386454,0.000000,-0.921435,4.612150,3.129828
