dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.844688,0.956175,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,6.930797,1.028562,0.150000,0.750000,1.875000,0.000000,0.718629
0.200000,7.066554,1.157798,0.337500,1.125000,1.875000,0.000000,0.810746
0.200000,7.224312,1.366647,0.600000,1.500000,1.875000,0.000000,1.078384
0.200000,7.263570,1.655291,0.900000,1.500000,0.000000,-9.375000,1.895816
0.200000,7.073359,1.880745,1.200000,1.500000,0.000000,0.000000,2.532582
0.200000,6.808156,2.019719,1.500000,1.500000,0.000000,0.000000,2.752593
0.200000,6.531614,2.120437,1.800000,1.500000,0.000000,0.000000,2.808277
0.200000,6.247138,2.215676,2.100000,1.500000,0.000000,0.000000,2.828762
0.200000,5.960779,2.305093,2.400000,1.500000,0.000000,0.000000,2.849073
0.200000,5.672671,2.388704,2.700000,1.500000,0.000000,0.000000,2.869178
0.200000,5.382949,2.466539,3.000000,1.500000,0.000000,0.000000,2.889046
0.200000,5.091748,2.538642,3.300000,1.500000,0.000000,0.000000,2.908646
0.200000,4.799199,2.605066,3.600000,1.500000,0.000000,0.000000,2.927953
0.200000,4.505431,2.665877,3.900000,1.500000,0.000000,0.000000,2.946941
0.200000,4.210571,2.721148,4.200000,1.500000,0.000000,0.000000,2.965587
0.200000,3.914740,2.770965,4.500000,1.500000,0.000000,0.000000,2.983870
0.200000,3.618057,2.815422,4.800000,1.500000,0.000000,0.000000,3.001773
0.200000,3.320632,2.854619,5.100000,1.500000,0.000000,0.000000,3.019279
0.200000,3.022574,2.888664,5.400000,1.500000,0.000000,0.000000,3.036375
0.200000,2.723983,2.917672,5.700000,1.500000,0.000000,0.000000,3.053050
0.200000,2.424955,2.941761,6.000000,1.500000,0.000000,0.000000,3.069294
0.200000,2.125580,2.961055,6.300000,1.500000,0.000000,0.000000,3.085100
0.200000,1.825994,2.975679,6.599945,1.499453,-0.002736,-0.013679,3.100461
0.200000,1.563762,2.984748,6.862336,1.124453,-1.875000,-9.361321,3.113532
0.200000,1.376424,2.989148,7.049726,0.749453,-1.875000,0.000000,3.122658
0.200000,1.264048,2.990973,7.162117,0.374453,-1.875000,0.000000,3.128047
0.200000,1.226606,2.991446,7.199562,0.000000,-1.872264,0.013679,3.129828
0.200000,1.226606,2.991446,7.199562,0.000000,0.000000,9.361321,3.129828
