dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,7.052473,0.699805,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,7.148054,0.780168,0.162376,0.624381,1.246905,-3.140474,0.718629
0.200000,7.305738,0.930441,0.380198,1.089110,2.323645,5.383701,0.810746
0.200000,7.515106,1.210638,0.729977,1.748893,3.298916,4.876354,1.078384
0.200000,7.576292,1.760669,1.283400,2.767115,5.091110,8.960969,1.895816
0.200000,7.262138,2.151415,1.784774,2.506871,-1.301223,-31.961667,2.532582
0.200000,6.933313,2.325065,2.156635,1.859303,-3.237839,-9.683078,2.752593
0.200000,6.639583,2.432275,2.469319,1.563421,-1.479412,8.792136,2.808277
0.200000,6.348697,2.529660,2.776074,1.533774,-0.148234,6.655887,2.828762
0.200000,6.055940,2.621074,3.082771,1.533487,-0.001432,0.734010,2.849073
0.200000,5.761460,2.706535,3.389400,1.533147,-0.001700,-0.001337,2.869178
0.200000,5.465407,2.786072,3.695952,1.532756,-0.001956,-0.001283,2.889046
0.200000,5.167927,2.859729,4.002415,1.532317,-0.002196,-0.001198,2.908646
0.200000,4.869165,2.927564,4.308782,1.531833,-0.002422,-0.001129,2.927953
0.200000,4.569261,2.989645,4.615043,1.531307,-0.002628,-0.001034,2.946941
0.200000,4.268353,3.046050,4.921192,1.530743,-0.002817,-0.000942,2.965587
0.200000,3.966573,3.096869,5.227221,1.530146,-0.002986,-0.000847,2.983870
0.200000,3.664047,3.142202,5.533125,1.529519,-0.003136,-0.000750,3.001773
0.200000,3.360895,3.182154,5.838898,1.528866,-0.003267,-0.000654,3.019279
0.200000,3.057232,3.216839,6.144536,1.528190,-0.003379,-0.000560,3.036375
0.200000,2.753164,3.246379,6.450035,1.527495,-0.003472,-0.000465,3.053050
0.200000,2.448793,3.270899,6.755392,1.526786,-0.003547,-0.000377,3.069294
0.200000,2.144212,3.290529,7.060605,1.526065,-0.003606,-0.000295,3.085100
0.200000,1.839564,3.305400,7.365616,1.525056,-0.005041,-0.007171,3.100461
0.200000,1.573021,3.314618,7.632318,1.333512,-0.957724,-4.763418,3.113532
0.200000,1.382672,3.319089,7.822720,0.952007,-1.907525,-4.749003,3.122658
0.200000,1.268518,3.320942,7.936889,0.570844,-1.905811,0.008569,3.128047
0.200000,1.230488,3.321424,7.974922,0.190166,-1.903391,0.012098,3.129828
0.200000,1.230488,3.321424,7.974922,0.000000,-0.950830,4.762805,3.129828
