dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.636904,1.212545,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,6.713541,1.276957,0.137611,0.500553,0.627765,-6.236176,0.718629
0.200000,6.827370,1.385154,0.294657,0.785233,1.423401,3.978181,0.810746
0.200000,6.933517,1.522655,0.468364,0.868535,0.416507,-5.034470,1.078384
0.200000,6.950847,1.549913,0.500664,0.161499,-3.535179,-19.758432,1.895816
0.200000,6.884581,1.610074,0.590166,0.447510,1.430059,24.826191,2.532582
0.200000,6.682999,1.714374,0.817132,1.134832,3.436605,10.032733,2.752593
0.200000,6.413348,1.816322,1.105411,1.441396,1.532820,-9.518925,2.770289
0.200000,6.125445,1.934207,1.416515,1.555516,0.570604,-4.811081,2.736598
0.200000,5.843115,2.060050,1.725621,1.545529,-0.049936,-3.102700,2.708975
0.200000,5.565764,2.191945,2.032736,1.535580,-0.049747,0.000944,2.687393
0.200000,5.292673,2.328096,2.337885,1.525742,-0.049188,0.002797,2.671783
0.200000,5.023055,2.466804,2.641091,1.516029,-0.048565,0.003111,2.662064
0.200000,4.756092,2.606452,2.942373,1.506411,-0.048093,0.002360,2.658178
0.200000,4.490963,2.745473,3.241739,1.496831,-0.047898,0.000977,2.660099
0.200000,4.226872,2.882329,3.539184,1.487225,-0.048028,-0.000649,2.667839
0.200000,3.963067,3.015487,3.834691,1.477534,-0.048459,-0.002158,2.681448
0.200000,3.698859,3.143400,4.128234,1.467715,-0.049095,-0.003179,2.701001
0.200000,3.433645,3.264496,4.419787,1.457764,-0.049752,-0.003284,2.726574
0.200000,3.166923,3.377177,4.709333,1.447733,-0.050154,-0.002010,2.758214
0.200000,2.898323,3.479834,4.996883,1.437748,-0.049927,0.001134,2.795891
0.200000,2.627617,3.570875,5.282488,1.428025,-0.048616,0.006556,2.839444
0.200000,2.354742,3.648773,5.566263,1.418878,-0.045736,0.014400,2.888523
0.200000,2.079806,3.712123,5.848404,1.410702,-0.040876,0.024297,2.942538
0.200000,1.803081,3.759717,6.129191,1.403937,-0.033827,0.035249,3.000638
0.200000,1.556897,3.787938,6.376988,1.238983,-0.824771,-3.954720,3.054618
0.200000,1.376849,3.799992,6.557439,0.902254,-1.683641,-4.294353,3.094973
0.200000,1.266376,3.803766,6.667977,0.552691,-1.747816,-0.320873,3.119941
0.200000,1.225646,3.804460,6.708713,0.203679,-1.745061,0.013773,3.129166
0.200000,1.222724,3.804496,6.711635,0.014611,-0.945342,3.998597,3.129828
0.200000,1.222724,3.804496,6.711635,0.000000,-0.073053,4.361446,3.129828
