dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.844688,0.956175,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,6.930797,1.028562,0.150000,0.750000,1.875000,0.000000,0.718629
0.200000,7.066554,1.157798,0.337500,1.125000,1.875000,0.000000,0.810746
0.200000,7.224312,1.366647,0.600000,1.500000,1.875000,0.000000,1.078384
0.200000,7.263570,1.655291,0.900000,1.500000,0.000000,-9.375000,1.895816
0.200000,7.073359,1.880745,1.200000,1.500000,0.000000,0.000000,2.532582
0.200000,6.808156,2.019719,1.500000,1.500000,0.000000,0.000000,2.752593
0.200000,6.533082,2.123835,1.800000,1.500000,0.000000,0.000000,2.770289
0.200000,6.255470,2.237512,2.100000,1.500000,0.000000,0.000000,2.736598
0.200000,5.981467,2.359648,2.400000,1.500000,0.000000,0.000000,2.708975
0.200000,5.710549,2.488487,2.700000,1.500000,0.000000,0.000000,2.687393
0.200000,5.442070,2.622341,3.000000,1.500000,0.000000,0.000000,2.671783
0.200000,5.175304,2.759584,3.300000,1.500000,0.000000,0.000000,2.662064
0.200000,4.909477,2.898638,3.600000,1.500000,0.000000,0.000000,2.658178
0.200000,4.643787,3.037953,3.900000,1.500000,0.000000,0.000000,2.660099
0.200000,4.377428,3.175983,4.200000,1.500000,0.000000,0.000000,2.667839
0.200000,4.109613,3.311163,4.500000,1.500000,0.000000,0.000000,2.681448
0.200000,3.839596,3.441885,4.800000,1.500000,0.000000,0.000000,2.701001
0.200000,3.566703,3.566482,5.100000,1.500000,0.000000,0.000000,2.726574
0.200000,3.290362,3.683221,5.400000,1.500000,0.000000,0.000000,2.758214
0.200000,3.010145,3.790310,5.700000,1.500000,0.000000,0.000000,2.795891
0.200000,2.725816,3.885926,6.000000,1.500000,0.000000,0.000000,2.839444
0.200000,2.437367,3.968262,6.300000,1.500000,0.000000,0.000000,2.888523
0.200000,2.145061,4.035607,6.600000,1.500000,0.000000,0.000000,2.942538
0.200000,1.849443,4.086444,6.900000,1.500000,0.000000,0.000000,3.000638
0.200000,1.585563,4.116691,7.165640,1.156402,-1.717988,-8.589942,3.054618
0.200000,1.392228,4.129634,7.359421,0.781402,-1.875000,-0.785058,3.094973
0.200000,1.273520,4.133689,7.478201,0.406402,-1.875000,0.000000,3.119941
0.200000,1.229746,4.134435,7.521982,0.031402,-1.875000,0.000000,3.129166
0.200000,1.226606,4.134473,7.525122,0.000000,-0.157012,8.589942,3.129828
0.200000,1.226606,4.134473,7.525122,0.000000,0.000000,0.785058,3.129828
