dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,7.052473,0.699805,0.037500,0.375000,1.875000,9.375000,0.681103
0.200000,7.148054,0.780168,0.162376,0.624381,1.246905,-3.140474,0.718629
0.200000,7.305738,0.930441,0.380198,1.089110,2.323645,5.383701,0.810746
0.200000,7.515106,1.210638,0.729977,1.748893,3.298916,4.876354,1.078384
0.200000,7.576292,1.760669,1.283400,2.767115,5.091110,8.960969,1.895816
0.200000,7.262138,2.151415,1.784774,2.506871,-1.301223,-31.961667,2.532582
0.200000,6.933313,2.325065,2.156635,1.859303,-3.237839,-9.683078,2.752593
0.200000,6.652816,2.431347,2.456591,1.499783,-1.797600,7.201196,2.770289
0.200000,6.385494,2.540816,2.745460,1.444341,-0.277207,7.601964,2.736598
0.200000,6.119820,2.659245,3.036335,1.454375,0.050169,1.636881,2.708975
0.200000,5.855334,2.785029,3.329207,1.464362,0.049933,-0.001181,2.687393
0.200000,5.591466,2.916587,3.624052,1.474227,0.049326,-0.003032,2.671783
0.200000,5.327553,3.052365,3.920844,1.483959,0.048659,-0.003337,2.662064
0.200000,5.062863,3.190825,4.219562,1.493588,0.048143,-0.002578,2.658178
0.200000,4.796611,3.330434,4.520195,1.503169,0.047905,-0.001193,2.660099
0.200000,4.527984,3.469638,4.822749,1.512767,0.047992,0.000438,2.667839
0.200000,4.256158,3.606840,5.127238,1.522443,0.048381,0.001945,2.681448
0.200000,3.980333,3.740370,5.433685,1.532238,0.048971,0.002950,2.701001
0.200000,3.699761,3.868468,5.742116,1.542154,0.049581,0.003051,2.726574
0.200000,3.413800,3.989265,6.052544,1.552141,0.049936,0.001775,2.758214
0.200000,3.121968,4.100787,6.364959,1.562074,0.049665,-0.001355,2.795891
0.200000,2.824014,4.200976,6.679307,1.571738,0.048317,-0.006739,2.839444
0.200000,2.519991,4.287750,6.995471,1.580821,0.045415,-0.014510,2.888523
0.200000,2.210316,4.359091,7.313257,1.588931,0.040552,-0.024317,2.942538
0.200000,1.895804,4.413171,7.632385,1.595640,0.033546,-0.035029,3.000638
0.200000,1.614228,4.445443,7.915804,1.417095,-0.892726,-4.631359,3.054618
0.200000,1.407607,4.459275,8.122888,1.035418,-1.908388,-5.078313,3.094973
0.200000,1.280665,4.463611,8.249904,0.635081,-2.001681,-0.466464,3.119941
0.200000,1.233847,4.464409,8.296729,0.234124,-2.004788,-0.015534,3.129166
0.200000,1.230488,4.464450,8.300088,0.016795,-1.086642,4.590730,3.129828
0.200000,1.230488,4.464450,8.300088,0.000000,-0.083977,5.013323,3.129828
