dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.634443,1.210740,0.037500,0.375000,1.875000,9.375000,0.690338
0.200000,6.700742,1.269424,0.126039,0.442696,0.338482,-7.682588,0.762887
0.200000,6.785970,1.364801,0.253948,0.639543,0.984235,3.228763,0.942955
0.200000,6.831752,1.458077,0.357853,0.519525,-0.600090,-7.921626,1.420918
0.200000,6.811747,1.529135,0.431674,0.369102,-0.752116,-0.760129,2.101757
0.200000,6.685349,1.668190,0.619591,0.939585,2.852415,18.022656,2.438920
0.200000,6.487731,1.807852,0.861579,1.209940,1.351774,-7.503205,2.604498
0.200000,6.258924,1.922463,1.117485,1.279532,0.347961,-5.019064,2.737543
0.200000,6.001455,2.019937,1.392788,1.376516,0.484919,0.684790,2.812188
0.200000,5.724083,2.109591,1.684290,1.457507,0.404954,-0.399824,2.837917
0.200000,5.432334,2.202905,1.990598,1.531540,0.370164,-0.173951,2.818786
0.200000,5.130055,2.314041,2.312660,1.610310,0.393848,0.118418,2.751748
0.200000,4.822883,2.461382,2.653342,1.703410,0.465502,0.358271,2.627806
0.200000,4.525233,2.666520,3.014834,1.807463,0.520268,0.273829,2.439841
0.200000,4.267462,2.941631,3.391839,1.885022,0.387794,-0.662370,2.203820
0.200000,4.082374,3.269783,3.768590,1.883756,-0.006332,-1.970631,1.968588
0.200000,3.975810,3.616735,4.131538,1.814739,-0.345081,-1.693744,1.776133
0.200000,3.930785,3.957648,4.475411,1.719367,-0.476861,-0.658899,1.637417
0.200000,3.910629,4.249218,4.767677,1.461327,-1.290201,-4.066699,1.660829
0.200000,3.873277,4.496090,5.017359,1.248411,-1.064579,1.128110,1.812597
0.200000,3.804329,4.665701,5.200448,0.915445,-1.664831,-3.001260,2.164074
0.200000,3.700132,4.759205,5.340448,0.700001,-1.077218,2.938065,2.644560
0.200000,3.519168,4.816278,5.530199,0.948755,1.243770,11.604940,2.976078
0.200000,3.246317,4.845760,5.804638,1.372195,2.117201,4.367154,3.046724
0.200000,2.951958,4.871738,6.100141,1.477514,0.526594,-7.953032,3.060345
0.200000,2.657152,4.893770,6.395770,1.478144,0.003147,-2.617234,3.073584
0.200000,2.361954,4.911963,6.691527,1.478786,0.003213,0.000326,3.086435
0.200000,2.066420,4.926425,6.987415,1.479440,0.003267,0.000273,3.098890
0.200000,1.783931,4.936857,7.270097,1.413407,-0.330165,-1.667159,3.110410
0.200000,1.551578,4.943031,7.502531,1.162173,-1.256167,-4.630013,3.119601
0.200000,1.393158,4.946029,7.660980,0.792244,-1.849645,-2.967391,3.125721
0.200000,1.308758,4.947233,7.745389,0.422044,-1.851002,-0.006784,3.128933
0.200000,1.285071,4.947522,7.769078,0.118445,-1.517997,1.665026,3.129828
0.200000,1.285071,4.947522,7.769078,0.000000,-0.592223,4.628871,3.129828
