dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.844587,0.956300,0.037500,0.375000,1.875000,9.375000,0.690338
0.200000,6.928776,1.030885,0.150000,0.750000,1.875000,0.000000,0.762887
0.200000,7.053038,1.170959,0.337500,1.125000,1.875000,0.000000,0.942955
0.200000,7.158052,1.408802,0.600000,1.500000,1.875000,0.000000,1.420918
0.200000,7.096313,1.696234,0.900000,1.500000,0.000000,-9.375000,2.101757
0.200000,6.898614,1.920019,1.200000,1.500000,0.000000,0.000000,2.438920
0.200000,6.656573,2.091388,1.500000,1.500000,0.000000,0.000000,2.604498
0.200000,6.388662,2.225890,1.800000,1.500000,0.000000,0.000000,2.737543
0.200000,6.108203,2.332194,2.100000,1.500000,0.000000,0.000000,2.812188
0.200000,5.822763,2.424492,2.400000,1.500000,0.000000,0.000000,2.837917
0.200000,5.537020,2.515860,2.700000,1.500000,0.000000,0.000000,2.818786
0.200000,5.255470,2.619281,3.000000,1.500000,0.000000,0.000000,2.751748
0.200000,4.985071,2.748776,3.300000,1.500000,0.000000,0.000000,2.627806
0.200000,4.738266,2.918545,3.600000,1.500000,0.000000,0.000000,2.439841
0.200000,4.533522,3.136855,3.900000,1.500000,0.000000,0.000000,2.203820
0.200000,4.386607,3.397620,4.200000,1.500000,0.000000,0.000000,1.968588
0.200000,4.298878,3.684021,4.500000,1.500000,0.000000,0.000000,1.776133
0.200000,4.260053,3.979617,4.800000,1.500000,0.000000,0.000000,1.637417
0.200000,4.239293,4.278889,5.100000,1.500000,0.000000,0.000000,1.660829
0.200000,4.193677,4.575109,5.400000,1.500000,0.000000,0.000000,1.812597
0.200000,4.077937,4.850198,5.700000,1.500000,0.000000,0.000000,2.164074
0.200000,3.857483,5.049276,6.000000,1.500000,0.000000,0.000000,2.644560
0.200000,3.573539,5.141768,6.300000,1.500000,0.000000,0.000000,2.976078
0.200000,3.277577,5.174276,6.600000,1.500000,0.000000,0.000000,3.046724
0.200000,2.978740,5.200650,6.900000,1.500000,0.000000,0.000000,3.060345
0.200000,2.679577,5.223007,7.200000,1.500000,0.000000,0.000000,3.073584
0.200000,2.380147,5.241461,7.500000,1.500000,0.000000,0.000000,3.086435
0.200000,2.080508,5.256124,7.800000,1.500000,0.000000,0.000000,3.098890
0.200000,1.794220,5.266696,8.086484,1.364844,-0.675781,-3.378907,3.110410
0.200000,1.558835,5.272951,8.321953,0.989844,-1.875000,-5.996093,3.119601
0.200000,1.398395,5.275987,8.482422,0.614844,-1.875000,0.000000,3.125721
0.200000,1.312935,5.277206,8.567891,0.239844,-1.875000,0.000000,3.128933
0.200000,1.288953,5.277499,8.591875,0.000000,-1.199219,3.378907,3.129828
0.200000,1.288953,5.277499,8.591875,0.000000,0.000000,5.996093,3.129828
