dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,7.054730,0.701860,0.037500,0.375000,1.875000,9.375000,0.690338
0.200000,7.156809,0.792346,0.173911,0.682057,1.535285,-1.698577,0.762887
0.200000,7.320106,0.977118,0.420500,1.232945,2.754439,6.095774,0.942955
0.200000,7.484352,1.359527,0.836690,2.080948,4.240018,7.427891,1.420918
0.200000,7.380879,1.863334,1.351013,2.571614,2.453327,-8.933454,2.101757
0.200000,7.111880,2.171848,1.760331,2.046590,-2.625118,-25.392225,2.438920
0.200000,6.825415,2.374923,2.111474,1.755718,-1.454358,5.853800,2.604498
0.200000,6.518400,2.529317,2.455125,1.718252,-0.187330,6.335140,2.737543
0.200000,6.214951,2.644452,2.779682,1.622786,-0.477333,-1.450015,2.812188
0.200000,5.921443,2.739392,3.088163,1.542407,-0.401895,0.377192,2.837917
0.200000,5.641706,2.828816,3.381846,1.468411,-0.369978,0.159586,2.818786
0.200000,5.380885,2.924520,3.659671,1.389126,-0.396426,-0.132241,2.751748
0.200000,5.147259,3.036169,3.918605,1.294668,-0.472289,-0.379314,2.627806
0.200000,4.951300,3.170570,4.156225,1.188103,-0.532825,-0.302682,2.439841
0.200000,4.799582,3.332078,4.377817,1.107960,-0.400717,0.660537,2.203820
0.200000,4.690840,3.525457,4.599674,1.109282,0.006611,2.036642,1.968588
0.200000,4.621945,3.751307,4.835798,1.180623,0.356706,1.750478,1.776133
0.200000,4.589321,4.001585,5.088194,1.261979,0.406777,0.250353,1.637417
0.200000,4.567956,4.308559,5.395910,1.538582,1.383017,4.881200,1.660829
0.200000,4.514077,4.654128,5.745654,1.748720,1.050691,-1.661631,1.812597
0.200000,4.351544,5.034695,6.159475,2.069104,1.601917,2.756130,2.164074
0.200000,4.014833,5.339346,6.613553,2.270389,1.006427,-2.977449,2.644560
0.200000,3.627910,5.467259,7.021072,2.037593,-1.163979,-10.852032,2.976078
0.200000,3.308836,5.502792,7.342118,1.605229,-2.161821,-4.989209,3.046724
0.200000,3.005523,5.529561,7.646610,1.522462,-0.413833,8.739938,3.060345
0.200000,2.702002,5.552245,7.950977,1.521834,-0.003141,2.053462,3.073584
0.200000,2.398340,5.570959,8.255216,1.521193,-0.003206,-0.000326,3.086435
0.200000,2.094595,5.585823,8.559324,1.520541,-0.003261,-0.000274,3.098890
0.200000,1.804509,5.596536,8.849608,1.451421,-0.345599,-1.711691,3.110410
0.200000,1.566092,5.602871,9.088109,1.192506,-1.294577,-4.744888,3.119601
0.200000,1.403633,5.605946,9.250597,0.812441,-1.900326,-3.028746,3.125721
0.200000,1.317113,5.607180,9.337126,0.432643,-1.898987,0.006693,3.128933
0.200000,1.292835,5.607476,9.361406,0.121399,-1.556220,1.713837,3.129828
0.200000,1.292835,5.607476,9.361406,0.000000,-0.606996,4.746120,3.129828
