dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.632831,1.209537,0.037500,0.375000,1.875000,9.375000,0.696429
0.200000,6.691634,1.263466,0.117288,0.398940,0.119702,-8.776492,0.795456
0.200000,6.754066,1.342650,0.218124,0.504180,0.526198,2.032482,1.057247
0.200000,6.770203,1.401846,0.279480,0.306780,-0.986999,-7.565987,1.663609
0.200000,6.713440,1.531790,0.421280,0.709000,2.011101,14.990502,2.139614
0.200000,6.558144,1.731571,0.674321,1.265204,2.781021,3.849601,2.281299
0.200000,6.383912,1.922836,0.933047,1.293629,0.142121,-13.194498,2.393017
0.200000,6.204281,2.054830,1.155958,1.114558,-0.895352,-5.187368,2.625082
0.200000,5.994536,2.144466,1.384055,1.140481,0.129614,5.124831,2.841609
0.200000,5.754165,2.196234,1.629937,1.229410,0.444646,1.575161,3.004774
0.200000,5.489027,2.217510,1.895927,1.329950,0.502696,0.290249,3.107481
0.200000,5.205522,2.218895,2.179435,1.417542,0.437960,-0.323679,3.157366
0.200000,4.906785,2.212522,2.478240,1.494025,0.382414,-0.277731,3.160986
0.200000,4.592912,2.211854,2.792113,1.569368,0.376719,-0.028476,3.118874
0.200000,4.262858,2.233433,3.122873,1.653795,0.422135,0.227081,3.025297
0.200000,3.918839,2.299051,3.473093,1.751103,0.486540,0.322021,2.872069
0.200000,3.575432,2.432734,3.841604,1.842552,0.457243,-0.146484,2.662401
0.200000,3.264191,2.643768,4.217644,1.880202,0.188253,-1.344951,2.429376
0.200000,3.012813,2.912920,4.585929,1.841425,-0.193889,-1.910709,2.220408
0.200000,2.822576,3.229600,4.955356,1.847133,0.028540,1.112146,1.996279
0.200000,2.707993,3.582150,5.326058,1.853514,0.031906,0.016829,1.779818
0.200000,2.664159,3.931621,5.678268,1.761048,-0.462329,-2.471175,1.620471
0.200000,2.665240,4.263511,6.010160,1.659460,-0.507939,-0.228049,1.523432
0.200000,2.688105,4.576846,6.324328,1.570839,-0.443110,0.324145,1.480425
0.200000,2.715452,4.873923,6.622661,1.491665,-0.395868,0.236206,1.485475
0.200000,2.733202,5.155553,6.904850,1.410948,-0.403586,-0.038590,1.539342
0.200000,2.728539,5.419150,7.168488,1.318187,-0.463803,-0.301083,1.649131
0.200000,2.690295,5.658748,7.411119,1.213158,-0.525145,-0.306707,1.822056
0.200000,2.610970,5.869619,7.636417,1.126487,-0.433353,0.458959,2.046971
0.200000,2.486287,6.053849,7.858872,1.112276,-0.071056,1.811485,2.280406
0.200000,2.315878,6.214974,8.093394,1.172611,0.301672,1.863640,2.477666
0.200000,2.087261,6.379371,8.374983,1.407943,1.176663,4.374955,2.525112
0.200000,1.845573,6.548304,8.669858,1.474376,0.332163,-4.222503,2.540632
0.200000,1.604362,6.708653,8.959504,1.448229,-0.130736,-2.314495,2.571973
0.200000,1.361680,6.856497,9.243673,1.420846,-0.136912,-0.030879,2.619862
0.200000,1.116071,6.987738,9.522147,1.392372,-0.142374,-0.027309,2.684942
0.200000,0.866650,7.098253,9.794956,1.364042,-0.141649,0.003622,2.767108
0.200000,0.613123,7.184247,10.062670,1.338570,-0.127357,0.071464,2.864622
0.200000,0.375939,7.239198,10.306136,1.217332,-0.606194,-2.394189,2.964640
0.200000,0.189011,7.264839,10.494815,0.943394,-1.369688,-3.817470,3.046206
0.200000,0.066326,7.273269,10.617789,0.614873,-1.642607,-1.364590,3.099717
0.200000,0.008893,7.274961,10.675247,0.287288,-1.637923,0.023420,3.124532
0.200000,-0.003432,7.275139,10.687573,0.061631,-1.128286,2.548185,3.129828
0.200000,-0.003432,7.275139,10.687573,0.000000,-0.308154,4.100657,3.129828
