dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.844520,0.956382,0.037500,0.375000,1.875000,9.375000,0.696429
0.200000,6.927314,1.032480,0.150000,0.750000,1.875000,0.000000,0.795456
0.200000,7.041498,1.180530,0.337500,1.125000,1.875000,0.000000,1.057247
0.200000,7.098782,1.432430,0.600000,1.500000,1.875000,0.000000,1.663609
0.200000,6.991478,1.709539,0.900000,1.500000,0.000000,-9.375000,2.139614
0.200000,6.808295,1.946802,1.200000,1.500000,0.000000,0.000000,2.281299
0.200000,6.608509,2.164614,1.500000,1.500000,0.000000,0.000000,2.393017
0.200000,6.367251,2.341781,1.800000,1.500000,0.000000,0.000000,2.625082
0.200000,6.092052,2.459729,2.100000,1.500000,0.000000,0.000000,2.841609
0.200000,5.799174,2.523150,2.400000,1.500000,0.000000,0.000000,3.004774
0.200000,5.500282,2.547318,2.700000,1.500000,0.000000,0.000000,3.107481
0.200000,5.200317,2.548854,3.000000,1.500000,0.000000,0.000000,3.157366
0.200000,4.900386,2.542460,3.300000,1.500000,0.000000,0.000000,3.160986
0.200000,4.600409,2.541769,3.600000,1.500000,0.000000,0.000000,3.118874
0.200000,4.301149,2.561204,3.900000,1.500000,0.000000,0.000000,3.025297
0.200000,4.006709,2.617137,4.200000,1.500000,0.000000,0.000000,2.872069
0.200000,3.727582,2.725566,4.500000,1.500000,0.000000,0.000000,2.662401
0.200000,3.479850,2.893550,4.800000,1.500000,0.000000,0.000000,2.429376
0.200000,3.275598,3.112530,5.100000,1.500000,0.000000,0.000000,2.220408
0.200000,3.123153,3.365811,5.400000,1.500000,0.000000,0.000000,1.996279
0.200000,3.030810,3.650626,5.700000,1.500000,0.000000,0.000000,1.779818
0.200000,2.993752,3.948007,6.000000,1.500000,0.000000,0.000000,1.620471
0.200000,2.994870,4.247887,6.300000,1.500000,0.000000,0.000000,1.523432
0.200000,3.016758,4.547064,6.600000,1.500000,0.000000,0.000000,1.480425
0.200000,3.044251,4.845801,6.900000,1.500000,0.000000,0.000000,1.485475
0.200000,3.063039,5.145175,7.200000,1.500000,0.000000,0.000000,1.539342
0.200000,3.057527,5.444974,7.500000,1.500000,0.000000,0.000000,1.649131
0.200000,3.009933,5.740794,7.800000,1.500000,0.000000,0.000000,1.822056
0.200000,2.904259,6.020885,8.100000,1.500000,0.000000,0.000000,2.046971
0.200000,2.736631,6.268856,8.400000,1.500000,0.000000,0.000000,2.280406
0.200000,2.519228,6.474875,8.700000,1.500000,0.000000,0.000000,2.477666
0.200000,2.278056,6.648624,9.000000,1.500000,0.000000,0.000000,2.525112
0.200000,2.032167,6.820486,9.300000,1.500000,0.000000,0.000000,2.540632
0.200000,1.782335,6.986548,9.600000,1.500000,0.000000,0.000000,2.571973
0.200000,1.526146,7.142593,9.900000,1.500000,0.000000,0.000000,2.619862
0.200000,1.261583,7.283925,10.200000,1.500000,0.000000,0.000000,2.684942
0.200000,0.987362,7.405383,10.500000,1.500000,0.000000,0.000000,2.767108
0.200000,0.703360,7.501670,10.800000,1.500000,0.000000,0.000000,2.864622
0.200000,0.434029,7.564044,11.076574,1.265740,-1.171302,-5.856509,2.964640
0.200000,0.220441,7.593339,11.292222,0.890740,-1.875000,-3.518491,3.046206
0.200000,0.080141,7.602980,11.432870,0.515740,-1.875000,0.000000,3.099717
0.200000,0.014523,7.604913,11.498518,0.140740,-1.875000,0.000000,3.124532
0.200000,0.000450,7.605116,11.512592,0.000000,-0.703698,5.856509,3.129828
0.200000,0.000450,7.605116,11.512592,0.000000,0.000000,3.518491,3.129828
