dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.455592,0.889143,0.037500,0.375000,1.875000,9.375000,3.145263
0.200000,5.347248,0.888060,0.145849,0.541747,0.833737,-5.206317,3.157838
0.200000,5.166357,0.883304,0.326803,0.904768,1.815102,4.906829,3.177667
0.200000,4.912522,0.870861,0.580943,1.270698,1.829649,0.072736,3.202981
0.200000,4.621697,0.849187,0.872574,1.458155,0.937286,-4.461815,3.228318
0.200000,4.330174,0.820592,1.165496,1.464611,0.032282,-4.525024,3.249748
0.200000,4.037969,0.786177,1.459720,1.471124,0.032561,0.001399,3.267238
0.200000,3.745040,0.747061,1.755250,1.477646,0.032611,0.000247,3.280779
0.200000,3.451295,0.704372,2.052080,1.484153,0.032537,-0.000366,3.290380
0.200000,3.156603,0.659245,2.350208,1.490638,0.032425,-0.000562,3.296052
0.200000,2.860802,0.612824,2.649629,1.497105,0.032333,-0.000463,3.297807
0.200000,2.563716,0.566263,2.950342,1.503563,0.032294,-0.000193,3.295647
0.200000,2.265162,0.520732,3.252347,1.510027,0.032320,0.000129,3.289569
0.200000,1.964970,0.477418,3.555648,1.516507,0.032397,0.000386,3.279561
0.200000,1.662991,0.437534,3.860249,1.523005,0.032489,0.000459,3.265611
0.200000,1.359123,0.402314,4.166152,1.529512,0.032534,0.000226,3.247713
0.200000,1.053324,0.373014,4.473352,1.536001,0.032447,-0.000436,3.225875
0.200000,0.745632,0.350906,4.781837,1.542425,0.032118,-0.001644,3.200138
0.200000,0.466707,0.338192,5.061051,1.396070,-0.731770,-3.819443,3.173657
0.200000,0.256064,0.333716,5.271742,1.053456,-1.713070,-4.906498,3.151752
0.200000,0.122755,0.333333,5.405052,0.666547,-1.934546,-1.107378,3.137075
0.200000,0.067212,0.333758,5.460596,0.277724,-1.944117,-0.047855,3.130778
0.200000,0.058915,0.333852,5.468893,0.041485,-1.181197,3.814597,3.129828
0.200000,0.058915,0.333852,5.468893,0.000000,-0.207423,4.868872,3.129828
