dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.451667,1.219687,0.037500,0.375000,1.875000,9.375000,3.113322
0.200000,5.339554,1.228405,0.150000,0.750000,1.875000,0.000000,3.012242
0.200000,5.157094,1.270244,0.337500,1.125000,1.875000,0.000000,2.815132
0.200000,4.924351,1.389604,0.600000,1.500000,1.875000,0.000000,2.524561
0.200000,4.705537,1.593726,0.900000,1.500000,0.000000,-9.375000,2.279255
0.200000,4.526224,1.834033,1.200000,1.500000,0.000000,0.000000,2.164917
0.200000,4.360625,2.084185,1.500000,1.500000,0.000000,0.000000,2.164181
0.200000,4.181680,2.324772,1.800000,1.500000,0.000000,0.000000,2.276853
0.200000,3.963536,2.529626,2.100000,1.500000,0.000000,0.000000,2.520400
0.200000,3.704371,2.674207,2.400000,1.500000,0.000000,0.000000,2.699936
0.200000,3.426656,2.787279,2.700000,1.500000,0.000000,0.000000,2.808687
0.200000,3.138680,2.870932,3.000000,1.500000,0.000000,0.000000,2.906851
0.200000,2.844273,2.928140,3.300000,1.500000,0.000000,0.000000,2.989661
0.200000,2.546407,2.963411,3.600000,1.500000,0.000000,0.000000,3.054762
0.200000,2.247009,2.981964,3.900000,1.500000,0.000000,0.000000,3.101621
0.200000,1.947106,2.989167,4.200000,1.500000,0.000000,0.000000,3.130606
0.200000,1.669546,2.990300,4.477564,1.275635,-1.121823,-5.609115,3.141969
0.200000,1.451919,2.990198,4.695191,0.900635,-1.875000,-3.765885,3.140660
0.200000,1.309293,2.990694,4.837818,0.525635,-1.875000,0.000000,3.134930
0.200000,1.241668,2.991277,4.905445,0.150635,-1.875000,0.000000,3.130856
0.200000,1.226606,2.991446,4.920508,0.000000,-0.753177,5.609115,3.129828
0.200000,1.226606,2.991446,4.920508,0.000000,0.000000,3.765885,3.129828
