dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.460996,1.549555,0.037500,0.375000,1.875000,9.375000,3.113322
0.200000,5.382121,1.555648,0.116610,0.395548,0.102738,-8.861308,3.012242
0.200000,5.262923,1.582814,0.238864,0.611273,1.078627,4.879444,2.815132
0.200000,5.115295,1.658752,0.404878,0.830071,1.093987,0.076801,2.524561
0.200000,4.956127,1.808445,0.623378,1.092499,1.312141,1.090767,2.279255
0.200000,4.799675,2.018761,0.885504,1.310630,1.090654,-1.107433,2.164917
0.200000,4.634213,2.268711,1.185259,1.498774,0.940721,-0.749669,2.164181
0.200000,4.432786,2.538889,1.522258,1.684999,0.931126,-0.047973,2.276853
0.200000,4.155598,2.797977,1.901679,1.897103,1.060521,0.646974,2.520400
0.200000,3.845425,2.972541,2.257600,1.779605,-0.587490,-8.240055,2.699936
0.200000,3.534497,3.099161,2.593322,1.678609,-0.504982,0.412540,2.808687
0.200000,3.215436,3.191882,2.925582,1.661302,-0.086534,2.092239,2.906851
0.200000,2.894218,3.254339,3.252816,1.636168,-0.125668,-0.195667,2.989661
0.200000,2.575025,3.292168,3.574242,1.607133,-0.145175,-0.097537,3.054762
0.200000,2.260196,3.311700,3.889677,1.577173,-0.149800,-0.023121,3.101621
0.200000,1.950731,3.319147,4.199231,1.547770,-0.147017,0.013914,3.130606
0.200000,1.669422,3.320300,4.480543,1.406560,-0.706050,-2.795165,3.141969
0.200000,1.452227,3.320198,4.697738,1.085975,-1.602925,-4.484375,3.140660
0.200000,1.311492,3.320686,4.838474,0.703680,-1.911474,-1.542747,3.134930
0.200000,1.245212,3.321258,4.904756,0.331412,-1.861339,0.250676,3.130856
0.200000,1.230488,3.321424,4.919481,0.073623,-1.288947,2.861957,3.129828
0.200000,1.230488,3.321424,4.919481,0.000000,-0.368114,4.604167,3.129828
