dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.449073,0.889486,0.037500,0.375000,1.875000,9.375000,3.126186
0.200000,5.317238,0.895333,0.169465,0.659826,1.424128,-2.254361,3.067144
0.200000,5.092456,0.925223,0.396225,1.133800,2.369874,4.728733,2.947764
0.200000,4.773885,1.023194,0.729521,1.666479,2.663391,1.467583,2.731246
0.200000,4.437871,1.232230,1.125249,1.978642,1.560816,-5.512874,2.436777
0.200000,4.180716,1.519879,1.511087,1.929190,-0.247262,-9.040389,2.173244
0.200000,4.006715,1.832670,1.869019,1.789657,-0.697662,-2.251999,1.996270
0.200000,3.886161,2.141509,2.200552,1.657668,-0.659944,0.188589,1.900326
0.200000,3.791777,2.437669,2.511388,1.554181,-0.517438,0.712528,1.867446
0.200000,3.704439,2.716905,2.803965,1.462880,-0.456503,0.304676,1.889923
0.200000,3.609850,2.972438,3.076443,1.362390,-0.502451,-0.229738,1.973086
0.200000,3.497289,3.191992,3.323169,1.233632,-0.643790,-0.706697,2.133720
0.200000,3.361075,3.361061,3.540283,1.085570,-0.740310,-0.482600,2.383171
0.200000,3.195889,3.476688,3.741917,1.008169,-0.387006,1.766519,2.678976
0.200000,2.964486,3.562263,3.988636,1.233595,1.127132,7.570688,2.833508
0.200000,2.696087,3.638229,4.267578,1.394710,0.805575,-1.607785,2.897177
0.200000,2.421819,3.698047,4.548294,1.403580,0.044348,-3.806131,2.955493
0.200000,2.142648,3.742943,4.831052,1.413792,0.051061,0.033566,3.007643
0.200000,1.859439,3.774391,5.116001,1.424744,0.054762,0.018501,3.053178
0.200000,1.601359,3.792569,5.374721,1.293600,-0.655723,-3.552426,3.088410
0.200000,1.405859,3.800683,5.570389,0.978343,-1.576284,-4.602801,3.111278
0.200000,1.281916,3.803632,5.694367,0.619887,-1.792278,-1.079973,3.124131
0.200000,1.230346,3.804403,5.745943,0.257880,-1.810036,-0.088786,3.129111
0.200000,1.222724,3.804496,5.753566,0.038114,-1.098830,3.556028,3.129828
0.200000,1.222724,3.804496,5.753566,0.000000,-0.190570,4.541298,3.129828
