dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.454157,1.219447,0.037500,0.375000,1.875000,9.375000,3.126186
0.200000,5.341783,1.224418,0.150000,0.750000,1.875000,0.000000,3.067144
0.200000,5.156020,1.249043,0.337500,1.125000,1.875000,0.000000,2.947764
0.200000,4.905531,1.325798,0.600000,1.500000,1.875000,0.000000,2.731246
0.200000,4.651676,1.483601,0.900000,1.500000,0.000000,-9.375000,2.436777
0.200000,4.452620,1.706877,1.200000,1.500000,0.000000,0.000000,2.173244
0.200000,4.307293,1.968879,1.500000,1.500000,0.000000,0.000000,1.996270
0.200000,4.198405,2.248297,1.800000,1.500000,0.000000,0.000000,1.900326
0.200000,4.107363,2.534134,2.100000,1.500000,0.000000,0.000000,1.867446
0.200000,4.017777,2.820438,2.400000,1.500000,0.000000,0.000000,1.889923
0.200000,3.913505,3.101642,2.700000,1.500000,0.000000,0.000000,1.973086
0.200000,3.776370,3.368101,3.000000,1.500000,0.000000,0.000000,2.133720
0.200000,3.588042,3.600615,3.300000,1.500000,0.000000,0.000000,2.383171
0.200000,3.343165,3.772001,3.600000,1.500000,0.000000,0.000000,2.678976
0.200000,3.064553,3.876726,3.900000,1.500000,0.000000,0.000000,2.833508
0.200000,2.775944,3.958421,4.200000,1.500000,0.000000,0.000000,2.897177
0.200000,2.482878,4.022349,4.500000,1.500000,0.000000,0.000000,2.955493
0.200000,2.186719,4.069987,4.800000,1.500000,0.000000,0.000000,3.007643
0.200000,1.888578,4.103102,5.100000,1.500000,0.000000,0.000000,3.053178
0.200000,1.618901,4.122103,5.370360,1.203597,-1.482013,-7.410065,3.088410
0.200000,1.415861,4.130532,5.573579,0.828597,-1.875000,-1.964935,3.111278
0.200000,1.287678,4.133582,5.701799,0.453597,-1.875000,0.000000,3.124131
0.200000,1.234465,4.134377,5.755018,0.078597,-1.875000,0.000000,3.129111
0.200000,1.226606,4.134473,5.762878,0.000000,-0.392987,7.410065,3.129828
0.200000,1.226606,4.134473,5.762878,0.000000,0.000000,1.964935,3.129828
