dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.459241,1.549408,0.037500,0.375000,1.875000,9.375000,3.126186
0.200000,5.366328,1.553504,0.130503,0.465014,0.450069,-7.124655,3.067144
0.200000,5.219583,1.572863,0.278519,0.740083,1.375344,4.626374,2.947764
0.200000,5.037177,1.628402,0.469194,0.953371,1.066443,-1.544507,2.731246
0.200000,4.865481,1.734972,0.671274,1.010404,0.285164,-3.906393,2.436777
0.200000,4.724524,1.893875,0.883686,1.062061,0.258286,-0.134390,2.173244
0.200000,4.607872,2.105087,1.124971,1.206424,0.721814,2.317639,1.996270
0.200000,4.510650,2.355084,1.393207,1.341180,0.673781,-0.240162,1.900326
0.200000,4.422949,2.630599,1.682343,1.445681,0.522503,-0.756393,1.867446
0.200000,4.331115,2.923972,1.989754,1.537053,0.456861,-0.328210,1.889923
0.200000,4.217160,3.230846,2.317103,1.636744,0.498456,0.207975,1.973086
0.200000,4.055450,3.544209,2.669731,1.763141,0.631986,0.667652,2.133720
0.200000,3.815008,3.840170,3.051052,1.906604,0.717314,0.426640,2.383171
0.200000,3.490441,4.067314,3.447206,1.980771,0.370833,-1.732403,2.678976
0.200000,3.164621,4.191188,3.795780,1.742869,-1.189507,-7.801704,2.833508
0.200000,2.855800,4.278613,4.116736,1.604783,-0.690432,2.495377,2.897177
0.200000,2.543937,4.346651,4.435935,1.595995,-0.043939,3.232463,2.955493
0.200000,2.230790,4.397031,4.753109,1.585868,-0.050635,-0.033479,3.007643
0.200000,1.917717,4.431813,5.068108,1.574996,-0.054357,-0.018611,3.053178
0.200000,1.636443,4.451636,5.350080,1.409858,-0.825692,-3.856675,3.088410
0.200000,1.425863,4.460380,5.560841,1.053808,-1.780251,-4.772795,3.111278
0.200000,1.293441,4.463531,5.693301,0.662299,-1.957544,-0.886464,3.124131
0.200000,1.238584,4.464352,5.748164,0.274314,-1.939923,0.088105,3.129111
0.200000,1.230488,4.464450,5.756260,0.040483,-1.169154,3.853846,3.129828
0.200000,1.230488,4.464450,5.756260,0.000000,-0.202417,4.833686,3.129828
