dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.454160,0.889312,0.037500,0.375000,1.875000,9.375000,3.134611
0.200000,5.332416,0.891844,0.159271,0.608856,1.169281,-3.528596,3.106511
0.200000,5.127362,0.904473,0.364713,1.027208,2.091759,4.612392,3.052065
0.200000,4.835687,0.944373,0.659104,1.471957,2.223746,0.659935,2.955073
0.200000,4.497484,1.033946,1.008968,1.749319,1.386811,-4.184677,2.802945
0.200000,4.164030,1.190628,1.377399,1.842154,0.464172,-4.613195,2.593527
0.200000,3.864113,1.430893,1.761687,1.921439,0.396427,-0.338725,2.334834
0.200000,3.637055,1.740044,2.145262,1.917875,-0.017818,-2.071224,2.078361
0.200000,3.493825,2.076328,2.510777,1.827579,-0.451484,-2.168329,1.877965
0.200000,3.413470,2.410645,2.854616,1.719191,-0.541940,-0.452279,1.744345
0.200000,3.371149,2.734147,3.180874,1.631291,-0.439497,0.512211,1.664512
0.200000,3.348854,3.046198,3.493721,1.564234,-0.335288,0.521049,1.625522
0.200000,3.333925,3.347501,3.795393,1.508362,-0.279358,0.279651,1.620453
0.200000,3.316294,3.637735,4.086162,1.453845,-0.272586,0.033859,1.648398
0.200000,3.286652,3.914338,4.364349,1.390936,-0.314545,-0.209795,1.714345
0.200000,3.235727,4.171190,4.626200,1.309257,-0.408397,-0.469261,1.829510
0.200000,3.155257,4.397986,4.866850,1.203246,-0.530051,-0.608269,2.008388
0.200000,3.036583,4.599940,5.101091,1.171205,-0.160207,1.849217,2.197066
0.200000,2.888479,4.761846,5.320519,1.097139,-0.370329,-1.050608,2.439582
0.200000,2.711686,4.873923,5.529843,1.046624,-0.252574,0.588774,2.712354
0.200000,2.498664,4.941184,5.753231,1.116940,0.351579,3.020767,2.943000
0.200000,2.250404,4.969864,6.003143,1.249558,0.663090,1.557555,3.094065
0.200000,1.976169,4.970580,6.277378,1.371177,0.608095,-0.274976,3.171929
0.200000,1.710224,4.959026,6.543574,1.330979,-0.200989,-4.045420,3.190143
0.200000,1.497829,4.950065,6.756159,1.062923,-1.340279,-5.696447,3.172972
0.200000,1.357501,4.947324,6.896513,0.701773,-1.805754,-2.327377,3.147404
0.200000,1.295693,4.947412,6.958322,0.309040,-1.963662,-0.789537,3.132593
0.200000,1.285071,4.947522,6.968944,0.053114,-1.279630,3.420156,3.129828
0.200000,1.285071,4.947522,6.968944,0.000000,-0.265571,5.070297,3.129828
