dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.456464,1.219304,0.037500,0.375000,1.875000,9.375000,3.134611
0.200000,5.343990,1.221641,0.150000,0.750000,1.875000,0.000000,3.106511
0.200000,5.156867,1.233152,0.337500,1.125000,1.875000,0.000000,3.052065
0.200000,4.896883,1.268650,0.600000,1.500000,1.875000,0.000000,2.955073
0.200000,4.607114,1.345204,0.900000,1.500000,0.000000,-9.375000,2.802945
0.200000,4.335972,1.472295,1.200000,1.500000,0.000000,0.000000,2.593527
0.200000,4.102389,1.659201,1.500000,1.500000,0.000000,0.000000,2.334834
0.200000,3.925452,1.900441,1.800000,1.500000,0.000000,0.000000,2.078361
0.200000,3.808379,2.176107,2.100000,1.500000,0.000000,0.000000,1.877965
0.200000,3.738512,2.467629,2.400000,1.500000,0.000000,0.000000,1.744345
0.200000,3.699701,2.765027,2.700000,1.500000,0.000000,0.000000,1.664512
0.200000,3.678360,3.064248,3.000000,1.500000,0.000000,0.000000,1.625522
0.200000,3.663518,3.363881,3.300000,1.500000,0.000000,0.000000,1.620453
0.200000,3.645301,3.663317,3.600000,1.500000,0.000000,0.000000,1.648398
0.200000,3.613258,3.961546,3.900000,1.500000,0.000000,0.000000,1.714345
0.200000,3.554745,4.255616,4.200000,1.500000,0.000000,0.000000,1.829510
0.200000,3.454163,4.537827,4.500000,1.500000,0.000000,0.000000,2.008388
0.200000,3.303956,4.793362,4.800000,1.500000,0.000000,0.000000,2.197066
0.200000,3.101578,5.013816,5.100000,1.500000,0.000000,0.000000,2.439582
0.200000,2.849025,5.173986,5.400000,1.500000,0.000000,0.000000,2.712354
0.200000,2.563770,5.264697,5.700000,1.500000,0.000000,0.000000,2.943000
0.200000,2.266082,5.299491,6.000000,1.500000,0.000000,0.000000,3.094065
0.200000,1.966160,5.300428,6.300000,1.500000,0.000000,0.000000,3.171929
0.200000,1.694209,5.288637,6.572210,1.222105,-1.389477,-6.947383,3.190143
0.200000,1.487475,5.279903,6.779131,0.847105,-1.875000,-2.427617,3.172972
0.200000,1.355583,5.277319,6.911052,0.472105,-1.875000,0.000000,3.147404
0.200000,1.298663,5.277398,6.967973,0.097105,-1.875000,0.000000,3.132593
0.200000,1.288953,5.277499,6.977684,0.000000,-0.485523,6.947383,3.129828
0.200000,1.288953,5.277499,6.977684,0.000000,0.000000,2.427617,3.129828
