dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.458768,1.549296,0.037500,0.375000,1.875000,9.375000,3.134611
0.200000,5.355565,1.551438,0.140725,0.516127,0.705637,-5.846813,3.106511
0.200000,5.186372,1.561830,0.310237,0.847559,1.657157,4.757599,3.052065
0.200000,4.958078,1.592926,0.540639,1.152010,1.522255,-0.674512,2.955073
0.200000,4.716744,1.656462,0.790197,1.247788,0.478891,-5.216820,2.802945
0.200000,4.507914,1.753961,1.020666,1.152343,-0.477223,-4.780570,2.593527
0.200000,4.340665,1.887509,1.234692,1.070134,-0.411047,0.330883,2.334834
0.200000,4.213849,2.060837,1.449460,1.073837,0.018513,2.147796,2.078361
0.200000,4.122933,2.275887,1.682938,1.167390,0.467766,2.246267,1.877965
0.200000,4.063555,2.524613,1.938653,1.278577,0.555937,0.440853,1.744345
0.200000,4.028253,2.795908,2.212236,1.367914,0.446686,-0.546253,1.664512
0.200000,4.007866,3.082299,2.499351,1.435576,0.338309,-0.541887,1.625522
0.200000,3.993112,3.380261,2.797678,1.491635,0.280294,-0.290072,1.620453
0.200000,3.974308,3.688900,3.106890,1.546058,0.272116,-0.040891,1.648398
0.200000,3.939864,4.008755,3.428594,1.608521,0.312315,0.200993,1.714345
0.200000,3.873762,4.340042,3.766411,1.689088,0.402835,0.452603,1.829510
0.200000,3.753069,4.677667,4.124961,1.792748,0.518298,0.577313,2.008388
0.200000,3.571328,4.986783,4.483544,1.792917,0.000849,-2.587242,2.197066
0.200000,3.314676,5.265786,4.862639,1.895474,0.512782,2.559661,2.439582
0.200000,2.986364,5.474050,5.251436,1.943984,0.242551,-1.351152,2.712354
0.200000,2.628876,5.588211,5.626710,1.876371,-0.338067,-2.903089,2.943000
0.200000,2.281761,5.629119,5.976227,1.747586,-0.643926,-1.529295,3.094065
0.200000,1.956150,5.630276,6.301840,1.628062,-0.597619,0.231531,3.171929
0.200000,1.678194,5.618248,6.580056,1.391084,-1.184886,-2.936335,3.190143
0.200000,1.477121,5.609740,6.781308,1.006260,-1.924121,-3.696176,3.172972
0.200000,1.353665,5.607313,6.904789,0.617401,-1.944296,-0.100875,3.147404
0.200000,1.301632,5.607385,6.956821,0.260164,-1.786185,0.790558,3.132593
0.200000,1.292835,5.607476,6.965619,0.043990,-1.080868,3.526582,3.129828
0.200000,1.292835,5.607476,6.965619,0.000000,-0.219951,4.304586,3.129828
