dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.461775,0.889239,0.037500,0.375000,1.875000,9.375000,3.138399
0.200000,5.344028,0.890543,0.155254,0.588772,1.068861,-4.030697,3.122461
0.200000,5.146939,0.897154,0.352455,0.986001,1.986145,4.586420,3.093053
0.200000,4.869213,0.917186,0.630901,1.392234,2.031162,0.225088,3.044649
0.200000,4.549302,0.959029,0.953537,1.613179,1.104725,-4.632186,2.975856
0.200000,4.227331,1.027052,1.282616,1.645392,0.161069,-4.718282,2.887416
0.200000,3.905504,1.129991,1.620505,1.689448,0.220276,0.296039,2.772029
0.200000,3.589817,1.279364,1.969748,1.746216,0.283842,0.317826,2.621806
0.200000,3.293807,1.486831,2.331223,1.807375,0.305794,0.109760,2.433895
0.200000,3.039908,1.755308,2.700743,1.847598,0.201117,-0.523383,2.221101
0.200000,2.849218,2.069757,3.068494,1.838756,-0.044211,-1.226640,2.013784
0.200000,2.725777,2.404712,3.425471,1.784883,-0.269362,-1.125756,1.839756
0.200000,2.657579,2.741180,3.768780,1.716548,-0.341677,-0.361576,1.707758
0.200000,2.628780,3.071068,4.099924,1.655718,-0.304151,0.187633,1.613006
0.200000,2.626377,3.392621,4.421486,1.607809,-0.239543,0.323038,1.547494
0.200000,2.640932,3.706421,4.735623,1.570687,-0.185612,0.269655,1.504582
0.200000,2.665539,4.013598,5.043784,1.540805,-0.149408,0.181021,1.479828
0.200000,2.694810,4.315185,5.346787,1.515017,-0.128941,0.102333,1.470724
0.200000,2.724125,4.611877,5.644925,1.490688,-0.121647,0.036469,1.476368
0.200000,2.749101,4.903893,5.938006,1.465407,-0.126401,-0.023771,1.497318
0.200000,2.765169,5.190765,6.225329,1.436611,-0.143980,-0.087895,1.535683
0.200000,2.767239,5.471002,6.505573,1.401223,-0.176940,-0.164801,1.595421
0.200000,2.749530,5.741547,6.776697,1.355617,-0.228030,-0.255446,1.682666
0.200000,2.705805,5.997197,7.036059,1.296812,-0.294025,-0.329979,1.805318
0.200000,2.630364,6.230812,7.281554,1.227472,-0.346699,-0.263370,1.969646
0.200000,2.519314,6.435792,7.514681,1.165639,-0.309168,0.187658,2.171085
0.200000,2.370559,6.609562,7.743426,1.143723,-0.109577,0.997952,2.385666
0.200000,2.179636,6.757034,7.984673,1.206232,0.312542,2.110597,2.554582
0.200000,1.950824,6.892864,8.250764,1.330456,0.621121,1.542895,2.656983
0.200000,1.708456,7.005356,8.517965,1.336009,0.027764,-2.966785,2.756039
0.200000,1.454045,7.095064,8.787729,1.348820,0.064055,0.181453,2.847379
0.200000,1.189376,7.163456,9.061092,1.366811,0.089958,0.129520,2.927876
0.200000,0.916291,7.212739,9.338588,1.387484,0.103362,0.067019,2.995905
0.200000,0.636457,7.245621,9.620348,1.408796,0.106562,0.015998,3.051072
0.200000,0.379149,7.263696,9.878289,1.289706,-0.595449,-3.510056,3.090111
0.200000,0.182709,7.271464,10.074883,0.982972,-1.533671,-4.691106,3.113088
0.200000,0.057448,7.274274,10.200175,0.626459,-1.782567,-1.244484,3.124872
0.200000,0.004699,7.275041,10.252930,0.263773,-1.813429,-0.154306,3.129195
0.200000,-0.003432,7.275139,10.261061,0.040658,-1.115574,3.489271,3.129828
0.200000,-0.003432,7.275139,10.261061,0.000000,-0.203291,4.561419,3.129828
