dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.462829,1.219238,0.037500,0.375000,1.875000,9.375000,3.138399
0.200000,5.350341,1.220482,0.150000,0.750000,1.875000,0.000000,3.122461
0.200000,5.162951,1.226766,0.337500,1.125000,1.875000,0.000000,3.093053
0.200000,4.901155,1.245637,0.600000,1.500000,1.875000,0.000000,3.044649
0.200000,4.603745,1.284507,0.900000,1.500000,0.000000,-9.375000,2.975856
0.200000,4.310309,1.346450,1.200000,1.500000,0.000000,0.000000,2.887416
0.200000,4.024703,1.437711,1.500000,1.500000,0.000000,0.000000,2.772029
0.200000,3.753726,1.565779,1.800000,1.500000,0.000000,0.000000,2.621806
0.200000,3.508335,1.737585,2.100000,1.500000,0.000000,0.000000,2.433895
0.200000,3.302555,1.955100,2.400000,1.500000,0.000000,0.000000,2.221101
0.200000,3.147364,2.211208,2.700000,1.500000,0.000000,0.000000,2.013784
0.200000,3.043913,2.492402,3.000000,1.500000,0.000000,0.000000,1.839756
0.200000,2.984489,2.786236,3.300000,1.500000,0.000000,0.000000,1.707758
0.200000,2.958486,3.084994,3.600000,1.500000,0.000000,0.000000,1.613006
0.200000,2.956288,3.384932,3.900000,1.500000,0.000000,0.000000,1.547494
0.200000,2.970209,3.684586,4.200000,1.500000,0.000000,0.000000,1.504582
0.200000,2.994175,3.983620,4.500000,1.500000,0.000000,0.000000,1.479828
0.200000,3.023159,4.282216,4.800000,1.500000,0.000000,0.000000,1.470724
0.200000,3.052655,4.580762,5.100000,1.500000,0.000000,0.000000,1.476368
0.200000,3.078211,4.879667,5.400000,1.500000,0.000000,0.000000,1.497318
0.200000,3.094966,5.179180,5.700000,1.500000,0.000000,0.000000,1.535683
0.200000,3.097139,5.479128,6.000000,1.500000,0.000000,0.000000,1.595421
0.200000,3.077467,5.778387,6.300000,1.500000,0.000000,0.000000,1.682666
0.200000,3.026771,6.073882,6.600000,1.500000,0.000000,0.000000,1.805318
0.200000,2.934461,6.358971,6.900000,1.500000,0.000000,0.000000,1.969646
0.200000,2.791621,6.622203,7.200000,1.500000,0.000000,0.000000,2.171085
0.200000,2.596927,6.849682,7.500000,1.500000,0.000000,0.000000,2.385666
0.200000,2.362414,7.031792,7.800000,1.500000,0.000000,0.000000,2.554582
0.200000,2.104559,7.184867,8.100000,1.500000,0.000000,0.000000,2.656983
0.200000,1.832559,7.311131,8.400000,1.500000,0.000000,0.000000,2.756039
0.200000,1.549740,7.410884,8.700000,1.500000,0.000000,0.000000,2.847379
0.200000,1.259367,7.485948,9.000000,1.500000,0.000000,0.000000,2.927876
0.200000,0.964198,7.539243,9.300000,1.500000,0.000000,0.000000,2.995905
0.200000,0.666288,7.574270,9.600000,1.500000,0.000000,0.000000,3.051072
0.200000,0.396131,7.593258,9.870841,1.208406,-1.457969,-7.289847,3.090111
0.200000,0.192114,7.601330,10.075022,0.833406,-1.875000,-2.085153,3.113088
0.200000,0.062966,7.604228,10.204203,0.458406,-1.875000,0.000000,3.124872
0.200000,0.008790,7.605015,10.258384,0.083406,-1.875000,0.000000,3.129195
0.200000,0.000450,7.605116,10.266725,0.000000,-0.417031,7.289847,3.129828
0.200000,0.000450,7.605116,10.266725,0.000000,0.000000,2.085153,3.129828
