dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.463883,1.549236,0.037500,0.375000,1.875000,9.375000,3.138399
0.200000,5.356654,1.550422,0.144735,0.536177,0.805885,-5.345573,3.122461
0.200000,5.178962,1.556377,0.322527,0.888958,1.763903,4.790088,3.093053
0.200000,4.933096,1.574087,0.569031,1.232518,1.717804,-0.230496,3.044649
0.200000,4.658188,1.609985,0.846272,1.386207,0.768441,-4.746814,2.975856
0.200000,4.393287,1.665847,1.116999,1.353635,-0.162858,-4.656494,2.887416
0.200000,4.143901,1.745431,1.378775,1.308883,-0.223762,-0.304519,2.772029
0.200000,3.917635,1.852195,1.628965,1.250947,-0.289678,-0.329584,2.621806
0.200000,3.722864,1.988339,1.866602,1.188184,-0.313816,-0.120687,2.433895
0.200000,3.565202,2.154891,2.095942,1.146703,-0.207405,0.532052,2.221101
0.200000,3.445511,2.352660,2.327109,1.155835,0.045660,1.265325,2.013784
0.200000,3.362048,2.580093,2.569373,1.211321,0.277431,1.158857,1.839756
0.200000,3.311398,2.831292,2.825628,1.281273,0.349762,0.361653,1.707758
0.200000,3.288192,3.098919,3.094259,1.343155,0.309409,-0.201763,1.613006
0.200000,3.286198,3.377243,3.372590,1.391658,0.242517,-0.334462,1.547494
0.200000,3.299486,3.662752,3.658408,1.429088,0.187148,-0.276843,1.504582
0.200000,3.322810,3.953642,3.950232,1.459119,0.150155,-0.184964,1.479828
0.200000,3.351508,4.249247,4.247227,1.484976,0.129284,-0.104356,1.470724
0.200000,3.381185,4.549647,4.549089,1.509312,0.121681,-0.038017,1.476368
0.200000,3.407321,4.855440,4.855997,1.534540,0.126140,0.022296,1.497318
0.200000,3.424762,5.167595,5.168639,1.563209,0.143346,0.086029,1.535683
0.200000,3.427039,5.487253,5.488305,1.598330,0.175605,0.161297,1.595421
0.200000,3.405404,5.815227,5.816992,1.643433,0.225514,0.249543,1.682666
0.200000,3.347738,6.150566,6.157253,1.701307,0.289372,0.319291,1.805318
0.200000,3.238559,6.487129,6.511082,1.769143,0.339181,0.249046,1.969646
0.200000,3.063928,6.808613,6.876934,1.829262,0.300592,-0.192946,2.171085
0.200000,2.823294,7.089802,7.247031,1.850483,0.106106,-0.972427,2.385666
0.200000,2.545193,7.306550,7.599621,1.762954,-0.437643,-2.718746,2.554582
0.200000,2.258294,7.476869,7.933268,1.668231,-0.473614,-0.179856,2.656983
0.200000,1.956663,7.616906,8.265820,1.662762,-0.027345,2.231345,2.756039
0.200000,1.645436,7.726704,8.595847,1.650136,-0.063133,-0.178938,2.847379
0.200000,1.329358,7.808441,8.922323,1.632378,-0.088791,-0.128290,2.927876
0.200000,1.012105,7.865747,9.244710,1.611937,-0.102203,-0.067060,2.995905
0.200000,0.696119,7.902919,9.562875,1.590823,-0.105570,-0.016837,3.051072
0.200000,0.413112,7.922821,9.846580,1.418528,-0.861477,-3.779535,3.090111
0.200000,0.201519,7.931196,10.058339,1.058795,-1.798662,-4.685926,3.113088
0.200000,0.068483,7.934182,10.191409,0.665346,-1.967246,-0.842917,3.124872
0.200000,0.012881,7.934990,10.247016,0.278039,-1.936536,0.153547,3.129195
0.200000,0.004332,7.935093,10.255566,0.042748,-1.176454,3.800414,3.129828
0.200000,0.004332,7.935093,10.255566,0.000000,-0.213741,4.813565,3.129828
