dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.512516,0.614306,0.037500,0.375000,1.875000,9.375000,2.793064
0.200000,4.417245,0.647016,0.138230,0.503651,0.643255,-6.158723,2.828713
0.200000,4.256092,0.693896,0.306063,0.839166,1.677576,5.171603,2.888235
0.200000,4.025916,0.743486,0.541521,1.177286,1.690597,0.065104,2.969983
0.200000,3.757170,0.777795,0.812448,1.354636,0.886750,-4.019234,3.057818
0.200000,3.483396,0.789727,1.086483,1.370174,0.077691,-4.045295,3.136287
0.200000,3.205591,0.781616,1.364406,1.389616,0.097212,0.097603,3.203029
0.200000,2.924531,0.756384,1.646596,1.410949,0.106665,0.047270,3.256896
0.200000,2.640665,0.717306,1.933139,1.432717,0.108838,0.010861,3.297613
0.200000,2.354077,0.667816,2.223968,1.454147,0.107153,-0.008424,3.325375
0.200000,2.064516,0.611405,2.518973,1.475025,0.104389,-0.013820,3.340502
0.200000,1.771458,0.551600,2.818071,1.495489,0.102322,-0.010335,3.343236
0.200000,1.474202,0.492006,3.121243,1.515856,0.101833,-0.002445,3.333622
0.200000,1.171983,0.436388,3.428536,1.536469,0.103066,0.006169,3.311501
0.200000,0.864132,0.388763,3.740049,1.557564,0.105475,0.012041,3.276565
0.200000,0.568841,0.355113,4.037251,1.486010,-0.357769,-2.316220,3.231708
0.200000,0.327374,0.338565,4.279285,1.210167,-1.379216,-5.107232,3.187148
0.200000,0.163890,0.333853,4.442837,0.817760,-1.962035,-2.914096,3.153175
0.200000,0.080450,0.333651,4.526277,0.417200,-2.002802,-0.203833,3.134712
0.200000,0.058915,0.333852,4.547813,0.107680,-1.547599,2.276011,3.129828
0.200000,0.058915,0.333852,4.547813,0.000000,-0.538400,5.045997,3.129828
