dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.625216,0.924465,0.037500,0.375000,1.875000,9.375000,2.793064
0.200000,4.518819,0.960994,0.150000,0.750000,1.875000,0.000000,2.828713
0.200000,4.338809,1.013361,0.337500,1.125000,1.875000,0.000000,2.888235
0.200000,4.082270,1.068639,0.600000,1.500000,1.875000,0.000000,2.969983
0.200000,3.784784,1.106638,0.900000,1.500000,0.000000,-9.375000,3.057818
0.200000,3.485146,1.119722,1.200000,1.500000,0.000000,0.000000,3.136287
0.200000,3.185329,1.110993,1.500000,1.500000,0.000000,0.000000,3.203029
0.200000,2.886565,1.084193,1.800000,1.500000,0.000000,0.000000,3.256896
0.200000,2.589387,1.043297,2.100000,1.500000,0.000000,0.000000,3.297613
0.200000,2.293770,0.992258,2.400000,1.500000,0.000000,0.000000,3.325375
0.200000,1.999308,0.934898,2.700000,1.500000,0.000000,0.000000,3.340502
0.200000,1.705366,0.874914,3.000000,1.500000,0.000000,0.000000,3.343236
0.200000,1.411221,0.815940,3.300000,1.500000,0.000000,0.000000,3.333622
0.200000,1.116183,0.761636,3.600000,1.500000,0.000000,0.000000,3.311501
0.200000,0.819726,0.715762,3.900000,1.500000,0.000000,0.000000,3.276565
0.200000,0.539143,0.683774,4.182424,1.324243,-0.878784,-4.393920,3.231708
0.200000,0.312346,0.668223,4.409773,0.949243,-1.875000,-4.981080,3.187148
0.200000,0.160068,0.663831,4.562122,0.574243,-1.875000,0.000000,3.153175
0.200000,0.082721,0.663644,4.639470,0.199243,-1.875000,0.000000,3.134712
0.200000,0.062797,0.663829,4.659395,0.000000,-0.996216,4.393920,3.129828
0.200000,0.062797,0.663829,4.659395,0.000000,0.000000,4.981080,3.129828
