dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.709004,0.910976,0.037500,0.375000,1.875000,9.375000,2.569090
0.200000,4.617773,0.976716,0.150000,0.750000,1.875000,0.000000,2.465227
0.200000,4.482086,1.105809,0.337500,1.125000,1.875000,0.000000,2.300062
0.200000,4.327175,1.317274,0.600000,1.500000,1.875000,0.000000,2.117940
0.200000,4.188464,1.583089,0.900000,1.500000,0.000000,-9.375000,2.001931
0.200000,4.068254,1.857943,1.200000,1.500000,0.000000,0.000000,1.979097
0.200000,3.942096,2.130063,1.500000,1.500000,0.000000,0.000000,2.046168
0.200000,3.785675,2.385658,1.800000,1.500000,0.000000,0.000000,2.210509
0.200000,3.579550,2.602533,2.100000,1.500000,0.000000,0.000000,2.461633
0.200000,3.328095,2.760561,2.400000,1.500000,0.000000,0.000000,2.669740
0.200000,3.051436,2.875822,2.700000,1.500000,0.000000,0.000000,2.822145
0.200000,2.761022,2.950160,3.000000,1.500000,0.000000,0.000000,2.955450
0.200000,2.463763,2.989621,3.300000,1.500000,0.000000,0.000000,3.058184
0.200000,2.164143,3.003495,3.600000,1.500000,0.000000,0.000000,3.126755
0.200000,1.864163,3.001863,3.900000,1.500000,0.000000,0.000000,3.161866
0.200000,1.597033,2.995325,4.167210,1.172098,-1.639511,-8.197554,3.166054
0.200000,1.400151,2.991571,4.364129,0.797098,-1.875000,-1.177446,3.152960
0.200000,1.278234,2.991051,4.486049,0.422098,-1.875000,0.000000,3.137863
0.200000,1.231315,2.991393,4.532968,0.047098,-1.875000,0.000000,3.130602
0.200000,1.226606,2.991446,4.537678,0.000000,-0.235489,8.197554,3.129828
0.200000,1.226606,2.991446,4.537678,0.000000,0.000000,1.177446,3.129828
