dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.887777,1.188357,0.037500,0.375000,1.875000,9.375000,2.569090
0.200000,4.824341,1.234068,0.115690,0.390950,0.079750,-8.976249,2.465227
0.200000,4.728156,1.325696,0.248533,0.664216,1.366328,6.432888,2.300062
0.200000,4.609000,1.488957,0.450653,1.010597,1.731907,1.827897,2.117940
0.200000,4.488267,1.720996,0.712223,1.307850,1.486265,-1.228213,2.001931
0.200000,4.371127,1.988969,1.004680,1.462286,0.772182,-3.570414,1.979097
0.200000,4.235507,2.281094,1.326751,1.610355,0.740342,-0.159200,2.046168
0.200000,4.050423,2.582656,1.680581,1.769149,0.793973,0.268154,2.210509
0.200000,3.787041,2.859140,2.062436,1.909278,0.700645,-0.466639,2.461633
0.200000,3.478092,3.054501,2.427971,1.827671,-0.408034,-5.543393,2.669740
0.200000,3.155070,3.189127,2.777924,1.749767,-0.389523,0.092551,2.822145
0.200000,2.822095,3.274459,3.121659,1.718676,-0.155452,1.170359,2.955450
0.200000,2.491256,3.318474,3.455414,1.668773,-0.249517,-0.470328,3.058184
0.200000,2.169039,3.333459,3.777979,1.612826,-0.279736,-0.151094,3.126755
0.200000,1.857473,3.331795,4.089549,1.557851,-0.274873,0.024315,3.161866
0.200000,1.588962,3.325227,4.358141,1.342958,-1.074468,-3.997974,3.166054
0.200000,1.396400,3.321550,4.550738,0.962987,-1.899854,-4.126928,3.152960
0.200000,1.279464,3.321048,4.667674,0.584681,-1.891527,0.041634,3.137863
0.200000,1.234942,3.321373,4.712198,0.222617,-1.810320,0.406033,3.130602
0.200000,1.230488,3.321424,4.716652,0.022272,-1.001726,4.042972,3.129828
0.200000,1.230488,3.321424,4.716652,0.000000,-0.111361,4.451825,3.129828
