dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.626557,0.970968,0.037500,0.375000,1.875000,9.375000,2.620913
0.200000,4.531836,1.031581,0.150000,0.750000,1.875000,0.000000,2.521375
0.200000,4.390502,1.154335,0.337500,1.125000,1.875000,0.000000,2.326117
0.200000,4.241548,1.369294,0.600000,1.500000,1.875000,0.000000,2.029095
0.200000,4.149541,1.653855,0.900000,1.500000,0.000000,-9.375000,1.756675
0.200000,4.120374,1.952115,1.200000,1.500000,0.000000,0.000000,1.597293
0.200000,4.124839,2.252020,1.500000,1.500000,0.000000,0.000000,1.527142
0.200000,4.139721,2.551650,1.800000,1.500000,0.000000,0.000000,1.526064
0.200000,4.144866,2.851548,2.100000,1.500000,0.000000,0.000000,1.593723
0.200000,4.117246,3.149968,2.400000,1.500000,0.000000,0.000000,1.749689
0.200000,4.027769,3.435362,2.700000,1.500000,0.000000,0.000000,2.018472
0.200000,3.855250,3.679018,3.000000,1.500000,0.000000,0.000000,2.356764
0.200000,3.614323,3.856040,3.300000,1.500000,0.000000,0.000000,2.643166
0.200000,3.340189,3.971135,3.600000,1.500000,0.000000,0.000000,2.822285
0.200000,3.050849,4.049871,3.900000,1.500000,0.000000,0.000000,2.927139
0.200000,2.755215,4.100300,4.200000,1.500000,0.000000,0.000000,3.014899
0.200000,2.456523,4.127668,4.500000,1.500000,0.000000,0.000000,3.081937
0.200000,2.156735,4.138238,4.800000,1.500000,0.000000,0.000000,3.127103
0.200000,1.856742,4.138536,5.100000,1.500000,0.000000,0.000000,3.150496
0.200000,1.590490,4.135421,5.366271,1.162705,-1.686474,-8.432369,3.153290
0.200000,1.395456,4.133834,5.561312,0.787705,-1.875000,-0.942631,3.144653
0.200000,1.275415,4.134023,5.681353,0.412705,-1.875000,0.000000,3.134819
0.200000,1.230376,4.134429,5.726394,0.037705,-1.875000,0.000000,3.130234
0.200000,1.226606,4.134473,5.730164,0.000000,-0.188526,8.432369,3.129828
0.200000,1.226606,4.134473,5.730164,0.000000,0.000000,0.942631,3.129828
