dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.790722,1.257236,0.037500,0.375000,1.875000,9.375000,2.620913
0.200000,4.723636,1.300119,0.117120,0.398102,0.115510,-8.797449,2.521375
0.200000,4.630759,1.380557,0.239988,0.614339,1.081183,4.828362,2.326117
0.200000,4.537494,1.515294,0.403855,0.819334,1.024979,-0.281017,2.029095
0.200000,4.473856,1.714843,0.613305,1.047252,1.139590,0.573052,1.756675
0.200000,4.450258,1.960858,0.860450,1.235721,0.942344,-0.986226,1.597293
0.200000,4.454525,2.237618,1.137243,1.383968,0.741235,-1.005548,1.527142
0.200000,4.469390,2.536893,1.436887,1.498218,0.571247,-0.849937,1.526064
0.200000,4.474779,2.859113,1.759152,1.611326,0.565543,-0.028523,1.593723
0.200000,4.441980,3.208689,2.110263,1.755555,0.721142,0.777997,1.749689
0.200000,4.325250,3.578209,2.497783,1.937598,0.910215,0.945365,2.018472
0.200000,4.088462,3.912496,2.907436,2.048268,0.553351,-1.784323,2.356764
0.200000,3.772078,4.145890,3.300592,1.965782,-0.412431,-4.828908,2.643166
0.200000,3.443779,4.284455,3.656935,1.781713,-0.920341,-2.539550,2.822285
0.200000,3.121077,4.372312,3.991383,1.672242,-0.547357,1.864920,2.927139
0.200000,2.796913,4.427655,4.320238,1.644274,-0.139840,2.037586,3.014899
0.200000,2.476198,4.457081,4.642300,1.610310,-0.169819,-0.149897,3.081937
0.200000,2.161516,4.468204,4.957178,1.574391,-0.179597,-0.048889,3.127103
0.200000,1.853804,4.468523,5.264891,1.538563,-0.179141,0.002281,3.150496
0.200000,1.586630,4.465398,5.532083,1.335961,-1.013007,-4.169333,3.153290
0.200000,1.394446,4.463833,5.724273,0.960951,-1.875049,-4.310207,3.144653
0.200000,1.277651,4.464015,5.841069,0.583977,-1.884874,-0.049129,3.134819
0.200000,1.234124,4.464408,5.884597,0.217641,-1.831678,0.265983,3.130234
0.200000,1.230488,4.464450,5.888233,0.018183,-0.997291,4.171932,3.129828
0.200000,1.230488,4.464450,5.888233,0.000000,-0.090914,4.531888,3.129828
