dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.516368,0.566305,0.037500,0.375000,1.875000,9.375000,2.592065
0.200000,4.406940,0.637466,0.168031,0.652656,1.388278,-2.433612,2.537376
0.200000,4.231995,0.771392,0.388354,1.101615,2.244796,4.282590,2.437634
0.200000,4.009584,0.991330,0.701146,1.563962,2.311736,0.334703,2.284301
0.200000,3.800181,1.282585,1.059865,1.793593,1.148156,-5.817901,2.104900
0.200000,3.646241,1.600122,1.412750,1.764423,-0.145850,-6.470030,1.943478
0.200000,3.543222,1.926268,1.754779,1.710144,-0.271395,-0.627724,1.815407
0.200000,3.478873,2.249948,2.084793,1.650071,-0.300366,-0.144855,1.724107
0.200000,3.440040,2.566522,2.403740,1.594736,-0.276675,0.118454,1.666557
0.200000,3.415455,2.874685,2.712882,1.545710,-0.245128,0.157734,1.638823
0.200000,3.395769,3.174123,3.012967,1.500423,-0.226437,0.093458,1.638567
0.200000,3.387130,3.503615,3.342572,1.648025,0.738009,4.822231,1.541129
0.200000,3.405631,3.817943,3.657443,1.574358,-0.368332,-5.531709,1.495978
0.200000,3.424345,4.106162,3.946270,1.444132,-0.651131,-1.413994,1.529794
0.200000,3.421238,4.363621,4.203748,1.287390,-0.783712,-0.662902,1.658120
0.200000,3.379001,4.568710,4.413140,1.046961,-1.202144,-2.092163,1.930753
0.200000,3.293348,4.706425,4.575319,0.810894,-1.180337,0.109036,2.344735
0.200000,3.144729,4.807183,4.754873,0.897773,0.434398,8.073673,2.706734
0.200000,2.928973,4.876593,4.981520,1.133232,1.177294,3.714481,2.927642
0.200000,2.672868,4.913437,5.240262,1.293710,0.802388,-1.874530,3.047670
0.200000,2.388495,4.933392,5.525334,1.425361,0.658256,-0.720660,3.092832
0.200000,2.098661,4.942760,5.815319,1.449923,0.122813,-2.677215,3.123148
0.200000,1.814165,4.945531,6.099828,1.422548,-0.136875,-1.298438,3.138193
0.200000,1.573333,4.945928,6.340661,1.204164,-1.091922,-4.775236,3.140076
0.200000,1.405445,4.946484,6.508550,0.839444,-1.823600,-3.658391,3.135729
0.200000,1.312558,4.947220,6.601440,0.464451,-1.874966,-0.256828,3.131378
0.200000,1.285071,4.947522,6.628929,0.137443,-1.635041,1.199624,3.129828
0.200000,1.285071,4.947522,6.628929,0.000000,-0.687213,4.739137,3.129828
