dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.861076,1.129134,0.037500,0.375000,1.875000,9.375000,2.592065
0.200000,4.781898,1.180611,0.131941,0.472203,0.486016,-6.944922,2.537376
0.200000,4.659173,1.274501,0.286462,0.772606,1.502012,5.079982,2.437634
0.200000,4.508592,1.423292,0.498153,1.058457,1.429259,-0.363767,2.284301
0.200000,4.368260,1.618571,0.738626,1.202365,0.719541,-3.548590,2.104900
0.200000,4.260935,1.840438,0.985088,1.232308,0.149713,-2.849136,1.943478
0.200000,4.183575,2.086106,1.242648,1.287801,0.277466,0.638765,1.815407
0.200000,4.131132,2.350736,1.512425,1.348886,0.305423,0.139781,1.724107
0.200000,4.097016,2.629627,1.793395,1.404849,0.279817,-0.128030,1.666557
0.200000,4.073928,2.919548,2.084234,1.454193,0.246717,-0.165498,1.638823
0.200000,4.054254,3.218817,2.384149,1.499576,0.226916,-0.099003,1.638567
0.200000,4.046840,3.484037,2.649473,1.326619,-0.864785,-5.458505,1.541129
0.200000,4.063785,3.768609,2.934548,1.425377,0.493792,6.792884,1.495978
0.200000,4.083791,4.079108,3.245691,1.555715,0.651691,0.789492,1.529794
0.200000,4.078723,4.421182,3.587802,1.710557,0.774207,0.612584,1.658120
0.200000,3.996703,4.801184,3.976555,1.943763,1.166030,1.959114,1.930753
0.200000,3.765356,5.167737,4.410010,2.167273,1.117551,-0.242396,2.344735
0.200000,3.422775,5.405757,4.827161,2.085754,-0.407595,-7.625727,2.706734
0.200000,3.069105,5.521545,5.199302,1.860709,-1.125226,-3.588157,2.927642
0.200000,2.734766,5.570528,5.537211,1.689545,-0.855822,1.347019,3.047670
0.200000,2.420664,5.592607,5.852088,1.574384,-0.575805,1.400086,3.092832
0.200000,2.110834,5.602648,6.162080,1.549961,-0.122112,2.268463,3.123148
0.200000,1.816409,5.605527,6.456519,1.472196,-0.388826,-1.333571,3.138193
0.200000,1.574334,5.605928,6.698595,1.210380,-1.309082,-4.601276,3.140076
0.200000,1.409315,5.606473,6.863615,0.825099,-1.926404,-3.086611,3.135729
0.200000,1.319299,5.607186,6.953634,0.450093,-1.875031,0.256864,3.131378
0.200000,1.292835,5.607476,6.980099,0.132329,-1.588816,1.431076,3.129828
0.200000,1.292835,5.607476,6.980099,0.000000,-0.661647,4.635846,3.129828
