dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.546841,0.637791,0.037500,0.375000,1.875000,9.375000,2.547516
0.200000,4.448630,0.705617,0.156856,0.596779,1.108893,-3.830533,2.526735
0.200000,4.287735,0.823654,0.356405,0.997746,2.004839,4.479726,2.490188
0.200000,4.069221,0.999883,0.637127,1.403608,2.029307,0.122342,2.434862
0.200000,3.831031,1.217758,0.959933,1.614035,1.052135,-4.885862,2.365555
0.200000,3.607820,1.453829,1.284822,1.624441,0.052031,-5.000520,2.289901
0.200000,3.402654,1.708156,1.611587,1.633827,0.046929,-0.025509,2.208520
0.200000,3.218653,1.979985,1.939836,1.641247,0.037102,-0.049132,2.122610
0.200000,3.058654,2.267640,2.268994,1.645790,0.022715,-0.071939,2.033925
0.200000,2.924824,2.568590,2.598360,1.646827,0.005183,-0.087659,1.944607
0.200000,2.818343,2.879717,2.927203,1.644217,-0.013050,-0.091163,1.856883
0.200000,2.739286,3.197709,3.254876,1.638363,-0.029270,-0.081100,1.772733
0.200000,2.686714,3.519455,3.580888,1.630061,-0.041510,-0.061200,1.693651
0.200000,2.659530,3.844160,3.906728,1.629204,-0.004285,0.186122,1.604554
0.200000,2.667737,4.180038,4.242707,1.679895,0.253456,1.288707,1.495016
0.200000,2.703745,4.499880,4.564570,1.609313,-0.352908,-3.031820,1.428585
0.200000,2.752921,4.805496,4.874117,1.547735,-0.307892,0.225078,1.399621
0.200000,2.803766,5.099354,5.172341,1.491120,-0.283075,0.124087,1.405002
0.200000,2.846268,5.382858,5.459013,1.433358,-0.288808,-0.028665,1.445332
0.200000,2.870756,5.655474,5.732727,1.368572,-0.323931,-0.175616,1.524767
0.200000,2.867766,5.914291,5.991561,1.294168,-0.372023,-0.240461,1.649009
0.200000,2.829229,6.154935,6.235271,1.218552,-0.378076,-0.030265,1.818693
0.200000,2.749959,6.374772,6.468964,1.168462,-0.250453,0.638116,2.018437
0.200000,2.627814,6.574582,6.703150,1.170934,0.012361,1.314068,2.216700
0.200000,2.464539,6.755367,6.946752,1.218009,0.235374,1.115065,2.386710
0.200000,2.266521,6.916967,7.202342,1.277949,0.299701,0.321635,2.520706
0.200000,2.053697,7.047408,7.451959,1.248086,-0.149312,-2.245060,2.664354
0.200000,1.821428,7.146944,7.704657,1.263490,0.077018,1.131650,2.807040
0.200000,1.572385,7.215741,7.963027,1.291850,0.141800,0.323907,2.932675
0.200000,1.308570,7.257374,8.230107,1.335402,0.217759,0.379796,3.032097
0.200000,1.032503,7.277217,8.506886,1.383894,0.242463,0.123517,3.102292
0.200000,0.746264,7.281825,8.793163,1.431385,0.237451,-0.025060,3.143814
0.200000,0.470295,7.278718,9.069149,1.379928,-0.257284,-2.473671,3.157915
0.200000,0.244730,7.275377,9.294739,1.127949,-1.259894,-5.013054,3.152438
0.200000,0.092024,7.274547,9.447447,0.763543,-1.822028,-2.810666,3.140538
0.200000,0.015474,7.274939,9.523998,0.382756,-1.903937,-0.409548,3.132148
0.200000,-0.003432,7.275139,9.542905,0.094533,-1.441116,2.314106,3.129828
0.200000,-0.003432,7.275139,9.542905,0.000000,-0.472664,4.842259,3.129828
