dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.731556,0.911251,0.037500,0.375000,1.875000,9.375000,2.547516
0.200000,4.638988,0.975180,0.150000,0.750000,1.875000,0.000000,2.526735
0.200000,4.487815,1.086081,0.337500,1.125000,1.875000,0.000000,2.490188
0.200000,4.283507,1.250844,0.600000,1.500000,1.875000,0.000000,2.434862
0.200000,4.062182,1.453277,0.900000,1.500000,0.000000,-9.375000,2.365555
0.200000,3.856111,1.671203,1.200000,1.500000,0.000000,0.000000,2.289901
0.200000,3.667793,1.904627,1.500000,1.500000,0.000000,0.000000,2.208520
0.200000,3.499673,2.152982,1.800000,1.500000,0.000000,0.000000,2.122610
0.200000,3.353892,2.415067,2.100000,1.500000,0.000000,0.000000,2.033925
0.200000,3.232035,2.689095,2.400000,1.500000,0.000000,0.000000,1.944607
0.200000,3.134931,2.972843,2.700000,1.500000,0.000000,0.000000,1.856883
0.200000,3.062580,3.263897,3.000000,1.500000,0.000000,0.000000,1.772733
0.200000,3.014227,3.559895,3.300000,1.500000,0.000000,0.000000,1.693651
0.200000,2.989342,3.855297,3.600000,1.500000,0.000000,0.000000,1.604554
0.200000,2.996790,4.155055,3.900000,1.500000,0.000000,0.000000,1.495016
0.200000,3.030413,4.453109,4.200000,1.500000,0.000000,0.000000,1.428585
0.200000,3.078098,4.749284,4.500000,1.500000,0.000000,0.000000,1.399621
0.200000,3.129241,5.044892,4.800000,1.500000,0.000000,0.000000,1.405002
0.200000,3.173674,5.341563,5.100000,1.500000,0.000000,0.000000,1.445332
0.200000,3.200406,5.640290,5.400000,1.500000,0.000000,0.000000,1.524767
0.200000,3.196757,5.940074,5.700000,1.500000,0.000000,0.000000,1.649009
0.200000,3.149141,6.235905,6.000000,1.500000,0.000000,0.000000,1.818693
0.200000,3.047445,6.517609,6.300000,1.500000,0.000000,0.000000,2.018437
0.200000,2.891338,6.773216,6.600000,1.500000,0.000000,0.000000,2.216700
0.200000,2.690656,6.995723,6.900000,1.500000,0.000000,0.000000,2.386710
0.200000,2.458500,7.185377,7.200000,1.500000,0.000000,0.000000,2.520706
0.200000,2.205275,7.340536,7.500000,1.500000,0.000000,0.000000,2.664354
0.200000,1.929782,7.458648,7.800000,1.500000,0.000000,0.000000,2.807040
0.200000,1.640828,7.538565,8.100000,1.500000,0.000000,0.000000,2.932675
0.200000,1.344631,7.585398,8.400000,1.500000,0.000000,0.000000,3.032097
0.200000,1.045469,7.606962,8.700000,1.500000,0.000000,0.000000,3.102292
0.200000,0.745530,7.611824,9.000000,1.500000,0.000000,0.000000,3.143814
0.200000,0.464909,7.608674,9.280641,1.306413,-0.967935,-4.839676,3.157915
0.200000,0.241152,7.605358,9.504424,0.931413,-1.875000,-4.535324,3.152438
0.200000,0.092372,7.604547,9.653206,0.556413,-1.875000,0.000000,3.140538
0.200000,0.018591,7.604924,9.726989,0.181413,-1.875000,0.000000,3.132148
0.200000,0.000450,7.605116,9.745130,0.000000,-0.907065,4.839676,3.129828
0.200000,0.000450,7.605116,9.745130,0.000000,0.000000,4.535324,3.129828
