dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.916272,1.184710,0.037500,0.375000,1.875000,9.375000,2.547516
0.200000,4.829346,1.244742,0.143140,0.528202,0.766010,-5.544948,2.526735
0.200000,4.687896,1.348508,0.318570,0.877149,1.744735,4.893622,2.490188
0.200000,4.497793,1.501806,0.562782,1.221057,1.719541,-0.125968,2.434862
0.200000,4.293333,1.688796,0.839855,1.385364,0.821535,-4.490029,2.365555
0.200000,4.104402,1.888578,1.114823,1.374843,-0.052605,-4.370701,2.289901
0.200000,3.932933,2.101099,1.387892,1.365345,-0.047494,0.025555,2.208520
0.200000,3.780692,2.325978,1.659458,1.357829,-0.037577,0.049586,2.122610
0.200000,3.649129,2.562495,1.930103,1.353226,-0.023018,0.072791,2.033925
0.200000,3.539246,2.809599,2.200538,1.352175,-0.005252,0.088833,1.944607
0.200000,3.451518,3.065969,2.471502,1.354819,0.013220,0.092359,1.856883
0.200000,3.385874,3.330084,2.743653,1.360752,0.029665,0.082223,1.772733
0.200000,3.341739,3.600335,3.017484,1.369157,0.042023,0.061793,1.693651
0.200000,3.319154,3.866435,3.284541,1.335284,-0.169365,-1.056943,1.604554
0.200000,3.325843,4.130071,3.548261,1.318603,-0.083403,0.429813,1.495016
0.200000,3.357082,4.406337,3.826288,1.390133,0.357650,2.205263,1.428585
0.200000,3.403275,4.693072,4.116720,1.452159,0.310128,-0.237612,1.399621
0.200000,3.454716,4.990430,4.418495,1.508875,0.283580,-0.132737,1.405002
0.200000,3.501080,5.300268,4.731782,1.566437,0.287810,0.021151,1.445332
0.200000,3.530057,5.625106,5.057910,1.630638,0.321004,0.165967,1.524767
0.200000,3.525748,5.965858,5.398690,1.703899,0.366308,0.226523,1.649009
0.200000,3.469053,6.316876,5.754257,1.777834,0.369673,0.016822,1.818693
0.200000,3.344930,6.660446,6.119561,1.826521,0.243435,-0.631187,2.018437
0.200000,3.154861,6.971849,6.484387,1.824131,-0.011952,-1.276934,2.216700
0.200000,2.916773,7.236079,6.840060,1.778365,-0.228829,-1.084385,2.386710
0.200000,2.650480,7.453787,7.184020,1.719802,-0.292815,-0.319933,2.520706
0.200000,2.356854,7.633664,7.528364,1.721717,0.009573,1.511943,2.664354
0.200000,2.038136,7.770352,7.875155,1.733956,0.061196,0.258110,2.807040
0.200000,1.709270,7.861389,8.216389,1.706171,-0.138925,-1.000602,2.932675
0.200000,1.380693,7.913422,8.549061,1.663360,-0.214055,-0.375653,3.032097
0.200000,1.058435,7.936707,8.872158,1.615488,-0.239357,-0.126508,3.102292
0.200000,0.744797,7.941824,9.185838,1.568399,-0.235448,0.019548,3.143814
0.200000,0.459523,7.938630,9.471130,1.426461,-0.709689,-2.371205,3.157915
0.200000,0.237573,7.935338,9.693105,1.109874,-1.582935,-4.366232,3.152438
0.200000,0.092720,7.934547,9.837960,0.724274,-1.928001,-1.725331,3.140538
0.200000,0.021707,7.934909,9.908973,0.355068,-1.846030,0.409855,3.132148
0.200000,0.004332,7.935093,9.926349,0.086880,-1.340939,2.525458,3.129828
0.200000,0.004332,7.935093,9.926349,0.000000,-0.434400,4.532693,3.129828
