dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.031350,0.993182,0.037500,0.375000,1.875000,9.375000,0.014609
0.200000,0.128964,0.996824,0.135182,0.488411,0.567056,-6.539718,0.059487
0.200000,0.293123,1.012386,0.300077,0.824475,1.680318,5.566308,0.127889
0.200000,0.525973,1.052234,0.536312,1.181175,1.783502,0.515919,0.207291
0.200000,0.796510,1.119048,0.814977,1.393324,1.060745,-3.613787,0.271797
0.200000,1.072510,1.202050,1.103188,1.441055,0.238653,-4.110460,0.307474
0.200000,1.355656,1.293820,1.400834,1.488231,0.235884,-0.013845,0.314604
0.200000,1.648388,1.386391,1.707855,1.535101,0.234350,-0.007666,0.293313
0.200000,1.942313,1.468600,2.013060,1.526027,-0.045372,-1.398610,0.264575
0.200000,2.204663,1.550892,2.288013,1.374767,-0.756301,-3.554649,0.340274
0.200000,2.466209,1.652662,2.568662,1.403241,0.142369,4.493351,0.398795
0.200000,2.727556,1.769666,2.855004,1.431713,0.142361,-0.000037,0.440119
0.200000,2.989861,1.897623,3.146856,1.459258,0.137728,-0.023166,0.464788
0.200000,3.254763,2.032318,3.444035,1.485896,0.133189,-0.022696,0.473333
0.200000,3.524266,2.169545,3.746464,1.512143,0.131232,-0.009786,0.465972
0.200000,3.800614,2.304940,4.054197,1.538668,0.132626,0.006972,0.442515
0.200000,4.086102,2.433746,4.367398,1.566005,0.136685,0.020294,0.402449
0.200000,4.382766,2.550587,4.686241,1.594216,0.141058,0.021863,0.345216
0.200000,4.691862,2.649358,5.010735,1.622466,0.141249,0.000958,0.270766
0.200000,5.013150,2.723460,5.340458,1.648617,0.130753,-0.052478,0.180354
0.200000,5.344208,2.766606,5.674315,1.669288,0.103353,-0.137000,0.077306
0.200000,5.680307,2.774172,6.010499,1.680920,0.058162,-0.225958,6.250327
0.200000,6.015322,2.744488,6.346827,1.681636,0.003580,-0.272908,6.139723
0.200000,6.322970,2.689501,6.659350,1.562619,-0.595087,-2.993334,6.085113
0.200000,6.631455,2.620119,6.975541,1.580954,0.091677,3.433818,6.035957
0.200000,6.943197,2.529854,7.300089,1.622740,0.208928,0.586254,5.961341
0.200000,7.261352,2.402471,7.642797,1.713538,0.453992,1.225323,5.831197
0.200000,7.590905,2.186912,8.036588,1.968955,1.277083,4.115452,5.542863
0.200000,7.838842,1.715751,8.569002,2.662072,3.465585,10.942513,4.799659
0.200000,7.702302,1.226145,9.077291,2.541446,-0.603131,-20.343583,4.139470
0.200000,7.453470,0.937517,9.458373,1.905409,-3.180182,-12.885255,3.890809
0.200000,7.191280,0.723247,9.796980,1.693037,-1.061859,10.591616,3.773229
0.200000,6.940635,0.553027,10.099962,1.514908,-0.890645,0.856069,3.707430
0.200000,6.737824,0.429667,10.337344,1.186909,-1.639997,-3.746760,3.670304
0.200000,6.601709,0.352004,10.494056,0.783562,-2.016732,-1.883674,3.650392
0.200000,6.533361,0.314281,10.572124,0.390337,-1.966127,0.253027,3.641533
0.200000,6.516218,0.304941,10.591646,0.097611,-1.463630,2.512484,3.639415
0.200000,6.516218,0.304941,10.591646,0.000000,-0.488056,4.877869,3.639415
