dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036171,0.663217,0.037500,0.375000,1.875000,9.375000,0.014609
0.200000,0.148583,0.667407,0.150000,0.750000,1.875000,0.000000,0.059487
0.200000,0.335212,0.685081,0.337500,1.125000,1.875000,0.000000,0.127889
0.200000,0.593891,0.729299,0.600000,1.500000,1.875000,0.000000,0.207291
0.200000,0.885102,0.801162,0.900000,1.500000,0.000000,-9.375000,0.271797
0.200000,1.172385,0.887527,1.200000,1.500000,0.000000,0.000000,0.307474
0.200000,1.457771,0.980017,1.500000,1.500000,0.000000,0.000000,0.314604
0.200000,1.743799,1.070485,1.800000,1.500000,0.000000,0.000000,0.293313
0.200000,2.028608,1.150083,2.100000,1.500000,0.000000,0.000000,0.264575
0.200000,2.314799,1.239814,2.400000,1.500000,0.000000,0.000000,0.340274
0.200000,2.594351,1.348557,2.700000,1.500000,0.000000,0.000000,0.398795
0.200000,2.868151,1.471115,3.000000,1.500000,0.000000,0.000000,0.440119
0.200000,3.137778,1.602631,3.300000,1.500000,0.000000,0.000000,0.464788
0.200000,3.405195,1.738601,3.600000,1.500000,0.000000,0.000000,0.473333
0.200000,3.672532,1.874728,3.900000,1.500000,0.000000,0.000000,0.465972
0.200000,3.941924,2.006726,4.200000,1.500000,0.000000,0.000000,0.442515
0.200000,4.215354,2.130111,4.500000,1.500000,0.000000,0.000000,0.402449
0.200000,4.494438,2.240056,4.800000,1.500000,0.000000,0.000000,0.345216
0.200000,4.780127,2.331381,5.100000,1.500000,0.000000,0.000000,0.270766
0.200000,5.072345,2.398813,5.400000,1.500000,0.000000,0.000000,0.180354
0.200000,5.369694,2.437591,5.700000,1.500000,0.000000,0.000000,0.077306
0.200000,5.669466,2.444350,6.000000,1.500000,0.000000,0.000000,6.250327
0.200000,5.968141,2.417879,6.300000,1.500000,0.000000,0.000000,6.139723
0.200000,6.258033,2.365953,6.600000,1.500000,0.000000,0.000000,6.085113
0.200000,6.550698,2.300153,6.900000,1.500000,0.000000,0.000000,6.035957
0.200000,6.838813,2.216798,7.200000,1.500000,0.000000,0.000000,5.961341
0.200000,7.117223,2.105610,7.500000,1.500000,0.000000,0.000000,5.831197
0.200000,7.368312,1.943289,7.800000,1.500000,0.000000,0.000000,5.542863
0.200000,7.510098,1.686989,8.100000,1.500000,0.000000,0.000000,4.799659
0.200000,7.424996,1.405034,8.400000,1.500000,0.000000,0.000000,4.139470
0.200000,7.228718,1.179151,8.700000,1.500000,0.000000,0.000000,3.890809
0.200000,6.996426,0.989577,9.000000,1.500000,0.000000,0.000000,3.773229
0.200000,6.763714,0.831594,9.281322,1.313221,-0.933897,-4.669486,3.707430
0.200000,6.571365,0.714608,9.506466,0.938221,-1.875000,-4.705514,3.670304
0.200000,6.440956,0.640203,9.656610,0.563221,-1.875000,0.000000,3.650392
0.200000,6.375167,0.603893,9.731754,0.188221,-1.875000,0.000000,3.641533
0.200000,6.358638,0.594887,9.750576,0.000000,-0.941103,4.669486,3.639415
0.200000,6.358638,0.594887,9.750576,0.000000,0.000000,4.705514,3.639415
