dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.040992,0.333253,0.037500,0.375000,1.875000,9.375000,0.014609
0.200000,0.168202,0.337991,0.164799,0.636494,1.307471,-2.837646,0.059487
0.200000,0.377300,0.357776,0.374831,1.050159,2.068324,3.804267,0.127889
0.200000,0.661808,0.406363,0.663457,1.443133,1.964872,-0.517260,0.207291
0.200000,0.973695,0.483277,0.984688,1.606154,0.815102,-5.748854,0.271797
0.200000,1.272261,0.573004,1.296445,1.558785,-0.236846,-5.259736,0.307474
0.200000,1.559887,0.666213,1.598797,1.511761,-0.235120,0.008629,0.314604
0.200000,1.839210,0.754579,1.891765,1.464840,-0.234602,0.002591,0.293313
0.200000,2.114902,0.831566,2.178005,1.431197,-0.168216,0.331928,0.264575
0.200000,2.424935,0.928735,2.502908,1.624515,0.966591,5.674038,0.340274
0.200000,2.722492,1.044452,2.822174,1.596331,-0.140924,-5.537576,0.398795
0.200000,3.008747,1.172563,3.135788,1.568073,-0.141286,-0.001812,0.440119
0.200000,3.285696,1.307639,3.443921,1.540665,-0.137041,0.021225,0.464788
0.200000,3.555628,1.444883,3.746740,1.514094,-0.132853,0.020940,0.473333
0.200000,3.820798,1.579911,4.044310,1.487850,-0.131220,0.008164,0.465972
0.200000,4.083235,1.708513,4.336563,1.461263,-0.132936,-0.008577,0.442515
0.200000,4.344607,1.826477,4.623322,1.433794,-0.137346,-0.022050,0.402449
0.200000,4.606110,1.929525,4.904396,1.405373,-0.142104,-0.023792,0.345216
0.200000,4.868392,2.013404,5.179764,1.376840,-0.142668,-0.002818,0.270766
0.200000,5.131540,2.074165,5.449836,1.350359,-0.132402,0.051331,0.180354
0.200000,5.395180,2.108577,5.715712,1.329380,-0.104895,0.137531,0.077306
0.200000,5.658624,2.114529,5.979224,1.317559,-0.059108,0.228938,6.250327
0.200000,5.920961,2.091269,6.242590,1.316829,-0.003649,0.277297,6.139723
0.200000,6.193095,2.042405,6.519077,1.382434,0.328024,1.658365,6.085113
0.200000,6.469941,1.980187,6.802827,1.418754,0.181602,-0.732110,6.035957
0.200000,6.734429,1.903743,7.078141,1.376566,-0.210940,-1.962711,5.961341
0.200000,6.973094,1.808748,7.335016,1.284377,-0.460947,-1.250038,5.831197
0.200000,7.145718,1.699666,7.539217,1.021006,-1.316853,-4.279527,5.542863
0.200000,7.181354,1.658226,7.593872,0.273273,-3.738665,-12.109064,4.799659
0.200000,7.147690,1.583922,7.675446,0.407871,0.672989,22.058271,4.139470
0.200000,7.003967,1.420784,7.892863,1.087087,3.396079,13.615450,3.890809
0.200000,6.801573,1.255908,8.153915,1.305256,1.090846,-11.526162,3.773229
0.200000,6.586794,1.110160,8.413476,1.297808,-0.037238,-5.640421,3.707430
0.200000,6.404906,0.999549,8.626357,1.064402,-1.167031,-5.648966,3.670304
0.200000,6.280204,0.928402,8.769928,0.717855,-1.732735,-2.828517,3.650392
0.200000,6.216974,0.893504,8.842148,0.361102,-1.783765,-0.255150,3.641533
0.200000,6.201059,0.884833,8.860272,0.090621,-1.352408,2.156783,3.639415
0.200000,6.201059,0.884833,8.860272,0.000000,-0.453103,4.496525,3.639415
