dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.032157,0.993092,0.037500,0.375000,1.875000,9.375000,0.008552
0.200000,0.135427,0.995419,0.140796,0.516479,0.707395,-5.838024,0.036433
0.200000,0.307636,1.005637,0.313308,0.862559,1.730402,5.115032,0.081807
0.200000,0.548644,1.032835,0.555845,1.212687,1.750639,0.101188,0.142188
0.200000,0.823519,1.081262,0.834954,1.395545,0.914289,-4.181752,0.205353
0.200000,1.097426,1.146528,1.116529,1.407876,0.061657,-4.263160,0.261075
0.200000,1.370204,1.226616,1.400821,1.421457,0.067905,0.031239,0.308596
0.200000,1.641936,1.319338,1.687937,1.435580,0.070611,0.013533,0.347583
0.200000,1.912940,1.422437,1.977890,1.449767,0.070936,0.001623,0.377994
0.200000,2.183746,1.533652,2.270643,1.463767,0.070000,-0.004680,0.399935
0.200000,2.455056,1.650749,2.566144,1.477504,0.068685,-0.006572,0.413563
0.200000,2.727711,1.771518,2.864349,1.491023,0.067598,-0.005435,0.419002
0.200000,2.962835,1.880723,3.123596,1.296235,-0.973942,-5.207700,0.535401
0.200000,3.145188,2.021704,3.354092,1.152479,-0.718778,1.275818,0.744766
0.200000,3.339676,2.218226,3.630581,1.382446,1.149832,9.343048,0.815834
0.200000,3.555361,2.443245,3.942276,1.558476,0.880150,-1.348406,0.780337
0.200000,3.822020,2.673076,4.294312,1.760181,1.008524,0.641869,0.621519
0.200000,4.184716,2.856522,4.700761,2.032242,1.360309,1.758924,0.293332
0.200000,4.617572,2.892565,5.135115,2.171770,0.697638,-3.313352,6.159654
0.200000,5.000036,2.780655,5.533615,1.992501,-0.896345,-7.969917,5.856506
0.200000,5.309774,2.602416,5.890977,1.786808,-1.028463,-0.660590,5.675277
0.200000,5.587278,2.366980,6.254897,1.819602,0.163969,5.962162,5.479816
0.200000,5.814133,2.075506,6.624248,1.846753,0.135754,-0.141076,5.267548
0.200000,5.974138,1.748253,6.988523,1.821379,-0.126872,-1.313129,5.070987
0.200000,6.067901,1.421020,7.328924,1.702004,-0.596875,-2.350018,4.917703
0.200000,6.110234,1.149478,7.603746,1.374107,-1.639484,-5.213046,4.820348
0.200000,6.125188,0.964988,7.788841,0.925478,-2.243147,-3.018314,4.767882
0.200000,6.129528,0.864223,7.889699,0.504291,-2.105931,0.686082,4.743464
0.200000,6.130355,0.834376,7.919558,0.149294,-1.774985,1.654728,4.736774
0.200000,6.130355,0.834376,7.919558,0.000000,-0.746472,5.142568,4.736774
