dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034980,0.663104,0.037500,0.375000,1.875000,9.375000,0.008552
0.200000,0.147447,0.665638,0.150000,0.750000,1.875000,0.000000,0.036433
0.200000,0.334602,0.676740,0.337500,1.125000,1.875000,0.000000,0.081807
0.200000,0.595408,0.706165,0.600000,1.500000,1.875000,0.000000,0.142188
0.200000,0.890811,0.758195,0.900000,1.500000,0.000000,-9.375000,0.205353
0.200000,1.182606,0.827710,1.200000,1.500000,0.000000,0.000000,0.261075
0.200000,1.470432,0.912205,1.500000,1.500000,0.000000,0.000000,0.308596
0.200000,1.754342,1.009072,1.800000,1.500000,0.000000,0.000000,0.347583
0.200000,2.034729,1.115732,2.100000,1.500000,0.000000,0.000000,0.377994
0.200000,2.312234,1.229693,2.400000,1.500000,0.000000,0.000000,0.399935
0.200000,2.587674,1.348569,2.700000,1.500000,0.000000,0.000000,0.413563
0.200000,2.861971,1.470064,3.000000,1.500000,0.000000,0.000000,0.419002
0.200000,3.131196,1.596902,3.300000,1.500000,0.000000,0.000000,0.535401
0.200000,3.368862,1.779073,3.600000,1.500000,0.000000,0.000000,0.744766
0.200000,3.580014,1.992089,3.900000,1.500000,0.000000,0.000000,0.815834
0.200000,3.787522,2.208722,4.200000,1.500000,0.000000,0.000000,0.780337
0.200000,4.014170,2.404788,4.500000,1.500000,0.000000,0.000000,0.621519
0.200000,4.280133,2.540618,4.800000,1.500000,0.000000,0.000000,0.293332
0.200000,4.576910,2.565079,5.100000,1.500000,0.000000,0.000000,6.159654
0.200000,4.863465,2.480241,5.400000,1.500000,0.000000,0.000000,5.856506
0.200000,5.121294,2.331537,5.700000,1.500000,0.000000,0.000000,5.675277
0.200000,5.349777,2.137866,6.000000,1.500000,0.000000,0.000000,5.479816
0.200000,5.533693,1.901570,6.300000,1.500000,0.000000,0.000000,5.267548
0.200000,5.665129,1.632435,6.600000,1.500000,0.000000,0.000000,5.070987
0.200000,5.744832,1.353741,6.890151,1.401514,-0.492428,-2.462142,4.917703
0.200000,5.782155,1.113921,7.132954,1.026514,-1.875000,-6.912858,4.820348
0.200000,5.795696,0.946685,7.300757,0.651514,-1.875000,0.000000,4.767882
0.200000,5.799687,0.853970,7.393560,0.276514,-1.875000,0.000000,4.743464
0.200000,5.800453,0.826329,7.421211,0.000000,-1.382572,2.462142,4.736774
0.200000,5.800453,0.826329,7.421211,0.000000,0.000000,6.912858,4.736774
