dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.037802,0.333117,0.037500,0.375000,1.875000,9.375000,0.008552
0.200000,0.159468,0.335857,0.159197,0.608484,1.167421,-3.537897,0.036433
0.200000,0.361569,0.347844,0.361653,1.012280,2.018978,4.257785,0.081807
0.200000,0.642172,0.379495,0.644035,1.411913,1.998169,-0.104045,0.142188
0.200000,0.958102,0.435129,0.964827,1.603956,0.960211,-5.189787,0.205353
0.200000,1.267785,0.508893,1.283174,1.591735,-0.061103,-5.106569,0.261075
0.200000,1.570660,0.597793,1.598826,1.578260,-0.067375,-0.031359,0.308596
0.200000,1.866749,0.698807,1.911672,1.564230,-0.070149,-0.013873,0.347583
0.200000,2.156518,0.809028,2.221695,1.550117,-0.070564,-0.002076,0.377994
0.200000,2.440723,0.925735,2.528930,1.536173,-0.069722,0.004213,0.399935
0.200000,2.720293,1.046390,2.833424,1.522473,-0.068501,0.006106,0.413563
0.200000,2.996231,1.168611,3.135219,1.508973,-0.067501,0.004999,0.419002
0.200000,3.299558,1.313080,3.471193,1.679870,0.854485,4.609930,0.535401
0.200000,3.592536,1.536441,3.839604,1.842054,0.810920,-0.217829,0.744766
0.200000,3.820352,1.765953,4.162985,1.616908,-1.125728,-9.683238,0.815834
0.200000,4.019683,1.974199,4.451255,1.441348,-0.877802,1.239630,0.780337
0.200000,4.206319,2.136499,4.698589,1.236671,-1.023384,-0.727910,0.621519
0.200000,4.375550,2.224713,4.889432,0.954214,-1.412285,-1.944505,0.293332
0.200000,4.536248,2.237594,5.050645,0.806065,-0.740744,3.357705,6.159654
0.200000,4.726895,2.179827,5.249851,0.996031,0.949831,8.452875,5.856506
0.200000,4.932815,2.060658,5.487768,1.189583,0.967756,0.089626,5.675277
0.200000,5.112276,1.908751,5.722889,1.175607,-0.069880,-5.188184,5.479816
0.200000,5.253254,1.727635,5.952406,1.147585,-0.140110,-0.351146,5.267548
0.200000,5.356121,1.516618,6.187160,1.173772,0.130937,1.355232,5.070987
0.200000,5.421763,1.286463,6.426494,1.196666,0.114469,-0.082337,4.917703
0.200000,5.454076,1.078364,6.637086,1.052963,-0.718515,-4.164922,4.820348
0.200000,5.466204,0.928382,6.787558,0.752359,-1.503021,-3.922529,4.767882
0.200000,5.469846,0.843717,6.872301,0.423714,-1.643223,-0.701011,4.743464
0.200000,5.470551,0.818283,6.897745,0.127220,-1.482473,0.803749,4.736774
0.200000,5.470551,0.818283,6.897745,0.000000,-0.636098,4.231875,4.736774
