dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.030336,0.993079,0.037500,0.375000,1.875000,9.375000,0.008127
0.200000,0.133858,0.995342,0.141047,0.517735,0.713676,-5.806619,0.035248
0.200000,0.307590,1.005110,0.315053,0.870031,1.761477,5.239005,0.076102
0.200000,0.552967,1.029991,0.561688,1.233176,1.815728,0.271253,0.124105
0.200000,0.836033,1.071695,0.847810,1.430606,0.987149,-4.142894,0.166098
0.200000,1.121723,1.124162,1.138278,1.452343,0.108687,-4.392309,0.194950
0.200000,1.410216,1.183891,1.432889,1.473055,0.103558,-0.025646,0.211271
0.200000,1.701995,1.247417,1.731504,1.493072,0.100086,-0.017362,0.215469
0.200000,1.997763,1.311249,2.034081,1.512886,0.099069,-0.005083,0.207657
0.200000,2.298337,1.371758,2.340685,1.533022,0.100679,0.008053,0.187628
0.200000,2.604522,1.425045,2.651472,1.553934,0.104562,0.019414,0.154899
0.200000,2.916914,1.466823,2.966646,1.575868,0.109668,0.025528,0.108833
0.200000,3.235623,1.492362,3.286377,1.598656,0.113940,0.021362,0.048897
0.200000,3.559886,1.496588,3.610667,1.621452,0.113983,0.000213,6.258251
0.200000,3.887644,1.474472,3.939171,1.642517,0.105321,-0.043308,6.171564
0.200000,4.215297,1.421777,4.271034,1.659316,0.083996,-0.106625,6.074614
0.200000,4.537939,1.336013,4.604879,1.669227,0.049557,-0.172198,5.971603
0.200000,4.850230,1.217154,4.939026,1.670731,0.007516,-0.210202,5.867673
0.200000,5.113912,1.086449,5.233325,1.471495,-0.996179,-5.018476,5.778999
0.200000,5.297043,0.977929,5.446195,1.064351,-2.035721,-5.197711,5.717981
0.200000,5.405129,0.906640,5.575673,0.647390,-2.084801,-0.245401,5.682471
0.200000,5.443654,0.879885,5.622577,0.234519,-2.064357,0.102224,5.669932
0.200000,5.446014,0.878223,5.625464,0.014436,-1.100415,4.819709,5.669166
0.200000,5.446014,0.878223,5.625464,0.000000,-0.072181,5.141170,5.669166
