dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033018,0.663090,0.037500,0.375000,1.875000,9.375000,0.008127
0.200000,0.145488,0.665547,0.150000,0.750000,1.875000,0.000000,0.035248
0.200000,0.332679,0.676066,0.337500,1.125000,1.875000,0.000000,0.076102
0.200000,0.593817,0.702529,0.600000,1.500000,1.875000,0.000000,0.124105
0.200000,0.890593,0.746236,0.900000,1.500000,0.000000,-9.375000,0.166098
0.200000,1.185650,0.800413,1.200000,1.500000,0.000000,0.000000,0.194950
0.200000,1.479418,0.861228,1.500000,1.500000,0.000000,0.000000,0.211271
0.200000,1.772551,0.925048,1.800000,1.500000,0.000000,0.000000,0.215469
0.200000,2.065798,0.988339,2.100000,1.500000,0.000000,0.000000,0.207657
0.200000,2.359892,1.047549,2.400000,1.500000,0.000000,0.000000,0.187628
0.200000,2.655434,1.098996,2.700000,1.500000,0.000000,0.000000,0.154899
0.200000,2.952758,1.138776,3.000000,1.500000,0.000000,0.000000,0.108833
0.200000,3.251753,1.162757,3.300000,1.500000,0.000000,0.000000,0.048897
0.200000,3.551659,1.166691,3.600000,1.500000,0.000000,0.000000,6.258251
0.200000,3.850886,1.146526,3.900000,1.500000,0.000000,0.000000,6.171564
0.200000,4.146967,1.098929,4.200000,1.500000,0.000000,0.000000,6.074614
0.200000,4.436772,1.021903,4.500000,1.500000,0.000000,0.000000,5.971603
0.200000,4.717023,0.915234,4.800000,1.500000,0.000000,0.000000,5.867673
0.200000,4.954491,0.797512,5.065133,1.151334,-1.743328,-8.716638,5.778999
0.200000,5.120299,0.699250,5.257900,0.776334,-1.875000,-0.658362,5.717981
0.200000,5.218602,0.634412,5.375667,0.401334,-1.875000,0.000000,5.682471
0.200000,5.253729,0.610018,5.418434,0.026334,-1.875000,0.000000,5.669932
0.200000,5.255882,0.608501,5.421068,0.000000,-0.131672,8.716638,5.669166
0.200000,5.255882,0.608501,5.421068,0.000000,0.000000,0.658362,5.669166
