dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035700,0.333100,0.037500,0.375000,1.875000,9.375000,0.008127
0.200000,0.157117,0.335752,0.158946,0.607230,1.161149,-3.569254,0.035248
0.200000,0.357769,0.347021,0.359914,1.004839,1.988045,4.134478,0.076102
0.200000,0.634666,0.375067,0.638228,1.391571,1.933662,-0.271915,0.124105
0.200000,0.945154,0.420778,0.952063,1.569173,0.888012,-5.228251,0.166098
0.200000,1.249577,0.476664,1.261573,1.547552,-0.108105,-4.980586,0.194950
0.200000,1.548620,0.538566,1.566956,1.526912,-0.103203,0.024514,0.211271
0.200000,1.843107,0.602679,1.868341,1.506926,-0.099931,0.016359,0.215469
0.200000,2.133833,0.665428,2.165762,1.487107,-0.099095,0.004178,0.207657
0.200000,2.421446,0.723341,2.459148,1.466928,-0.100894,-0.008991,0.187628
0.200000,2.706346,0.772947,2.748334,1.445932,-0.104980,-0.020430,0.154899
0.200000,2.988602,0.810728,3.033107,1.423867,-0.110327,-0.026737,0.108833
0.200000,3.267882,0.833151,3.313286,1.400894,-0.114861,-0.022672,0.048897
0.200000,3.543431,0.836793,3.588859,1.377865,-0.115149,-0.001440,6.258251
0.200000,3.814127,0.818579,3.860167,1.356541,-0.106616,0.042664,6.171564
0.200000,4.078636,0.776080,4.128069,1.339507,-0.085171,0.107229,6.074614
0.200000,4.335606,0.707792,4.393957,1.329440,-0.050337,0.174168,5.971603
0.200000,4.583816,0.613313,4.659540,1.327917,-0.007615,0.213612,5.867673
0.200000,4.795070,0.508575,4.895333,1.178965,-0.744757,-3.685710,5.778999
0.200000,4.943555,0.420572,5.067938,0.863024,-1.579708,-4.174759,5.717981
0.200000,5.032076,0.362185,5.173980,0.530212,-1.664058,-0.421749,5.682471
0.200000,5.063803,0.340151,5.212609,0.193142,-1.685351,-0.106465,5.669932
0.200000,5.065751,0.338779,5.214990,0.011908,-0.906169,3.895913,5.669166
0.200000,5.065751,0.338779,5.214990,0.000000,-0.059541,4.233137,5.669166
