dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036315,0.992897,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.151606,0.991986,0.152795,0.576474,1.007369,-4.338153,6.271354
0.200000,0.340990,0.989037,0.342202,0.947035,1.852804,4.227173,6.265575
0.200000,0.600430,0.985216,0.601670,1.297343,1.751541,-0.506317,6.274758
0.200000,0.888483,0.987281,0.889731,1.440303,0.714800,-5.183704,0.027705
0.200000,1.165986,1.003412,1.167701,1.389853,-0.252248,-4.835238,0.094305
0.200000,1.429652,1.041010,1.434035,1.331670,-0.290918,-0.193353,0.195976
0.200000,1.674716,1.106750,1.687763,1.268640,-0.315148,-0.121146,0.335569
0.200000,1.896624,1.205576,1.930682,1.214595,-0.270226,0.224607,0.507628
0.200000,2.093298,1.340244,2.169044,1.191807,-0.113938,0.781443,0.693365
0.200000,2.264885,1.510982,2.411105,1.210308,0.092506,1.032216,0.868000
0.200000,2.411957,1.714426,2.662143,1.255187,0.224392,0.659433,1.015678
0.200000,2.538388,1.945237,2.925313,1.315849,0.303312,0.394597,1.114337
0.200000,2.647084,2.193581,3.196402,1.355447,0.197988,-0.526620,1.201683
0.200000,2.734596,2.451611,3.468868,1.362329,0.034414,-0.817866,1.284881
0.200000,2.801834,2.718111,3.743719,1.374256,0.059631,0.126082,1.360889
0.200000,2.850418,2.991800,4.021687,1.389841,0.077927,0.091482,1.427496
0.200000,2.882539,3.271467,4.303193,1.407529,0.088442,0.052575,1.483428
0.200000,2.900781,3.556090,4.588400,1.426036,0.092530,0.020440,1.528182
0.200000,2.907965,3.844908,4.877307,1.444535,0.092496,-0.000169,1.561756
0.200000,2.907031,4.137435,5.169836,1.462644,0.090544,-0.009760,1.584378
0.200000,2.900980,4.433435,5.465897,1.480308,0.088322,-0.011114,1.596307
0.200000,2.892866,4.732860,5.765433,1.497676,0.086841,-0.007402,1.597715
0.200000,2.885825,5.035778,6.068432,1.514995,0.086594,-0.001238,1.588624
0.200000,2.883115,5.342270,6.374936,1.532521,0.087630,0.005183,1.568899
0.200000,2.882026,5.624204,6.656872,1.409682,-0.614197,-3.509136,1.602218
0.200000,2.862941,5.896830,6.930165,1.366465,-0.216082,1.990573,1.682921
0.200000,2.820169,6.158564,7.195371,1.326031,-0.202174,0.069543,1.787987
0.200000,2.749281,6.402851,7.449735,1.271820,-0.271051,-0.344389,1.925671
0.200000,2.646636,6.621450,7.691234,1.207495,-0.321627,-0.252877,2.101995
0.200000,2.510184,6.807350,7.921838,1.153015,-0.272398,0.246144,2.311007
0.200000,2.338728,6.958194,8.150204,1.141831,-0.055924,1.082372,2.526724
0.200000,2.132601,7.075098,8.387174,1.184852,0.215109,1.355163,2.716638
0.200000,1.896619,7.160333,8.638077,1.254515,0.348314,0.666024,2.864721
0.200000,1.638694,7.217867,8.902341,1.321320,0.334026,-0.071440,2.972624
0.200000,1.366020,7.253115,9.177284,1.374713,0.266964,-0.335312,3.048357
0.200000,1.083527,7.271725,9.460389,1.415524,0.204056,-0.314539,3.099461
0.200000,0.794129,7.278882,9.749876,1.447435,0.159555,-0.222505,3.131282
0.200000,0.512125,7.279286,10.031880,1.410020,-0.187076,-1.733154,3.146705
0.200000,0.276337,7.277586,10.267674,1.178973,-1.155237,-4.840803,3.149427
0.200000,0.113591,7.276516,10.430424,0.813746,-1.826132,-3.354479,3.146225
0.200000,0.025765,7.276251,10.518250,0.439130,-1.873080,-0.234738,3.142790
0.200000,0.000774,7.276236,10.543241,0.124957,-1.570866,1.511067,3.141593
0.200000,0.000774,7.276236,10.543241,0.000000,-0.624785,4.730406,3.141593
