dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035205,0.662899,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.147702,0.662009,0.150000,0.750000,1.875000,0.000000,6.271354
0.200000,0.335179,0.659088,0.337500,1.125000,1.875000,0.000000,6.265575
0.200000,0.597649,0.655228,0.600000,1.500000,1.875000,0.000000,6.274758
0.200000,0.897625,0.657407,0.900000,1.500000,0.000000,-9.375000,0.027705
0.200000,1.197060,0.674879,1.200000,1.500000,0.000000,0.000000,0.094305
0.200000,1.493911,0.717327,1.500000,1.500000,0.000000,0.000000,0.195976
0.200000,1.783387,0.795156,1.800000,1.500000,0.000000,0.000000,0.335569
0.200000,2.057039,0.917189,2.100000,1.500000,0.000000,0.000000,0.507628
0.200000,2.304210,1.086441,2.400000,1.500000,0.000000,0.000000,0.693365
0.200000,2.516687,1.297685,2.700000,1.500000,0.000000,0.000000,0.868000
0.200000,2.692404,1.540502,3.000000,1.500000,0.000000,0.000000,1.015678
0.200000,2.834603,1.799782,3.300000,1.500000,0.000000,0.000000,1.114337
0.200000,2.954857,2.074521,3.600000,1.500000,0.000000,0.000000,1.201683
0.200000,3.051199,2.358539,3.900000,1.500000,0.000000,0.000000,1.284881
0.200000,3.124590,2.649349,4.200000,1.500000,0.000000,0.000000,1.360889
0.200000,3.177035,2.944673,4.500000,1.500000,0.000000,0.000000,1.427496
0.200000,3.211280,3.242672,4.800000,1.500000,0.000000,0.000000,1.483428
0.200000,3.230482,3.542032,5.100000,1.500000,0.000000,0.000000,1.528182
0.200000,3.237952,3.841925,5.400000,1.500000,0.000000,0.000000,1.561756
0.200000,3.237000,4.141917,5.700000,1.500000,0.000000,0.000000,1.584378
0.200000,3.230872,4.441853,6.000000,1.500000,0.000000,0.000000,1.596307
0.200000,3.222747,4.741742,6.300000,1.500000,0.000000,0.000000,1.597715
0.200000,3.215772,5.041660,6.600000,1.500000,0.000000,0.000000,1.588624
0.200000,3.213114,5.341644,6.900000,1.500000,0.000000,0.000000,1.568899
0.200000,3.211863,5.634571,7.200000,1.500000,0.000000,0.000000,1.602218
0.200000,3.190869,5.933754,7.500000,1.500000,0.000000,0.000000,1.682921
0.200000,3.142417,6.229675,7.800000,1.500000,0.000000,0.000000,1.787987
0.200000,3.058719,6.517517,8.100000,1.500000,0.000000,0.000000,1.925671
0.200000,2.931162,6.788618,8.400000,1.500000,0.000000,0.000000,2.101995
0.200000,2.753831,7.029916,8.700000,1.500000,0.000000,0.000000,2.311007
0.200000,2.529088,7.227754,9.000000,1.500000,0.000000,0.000000,2.526724
0.200000,2.268653,7.375747,9.300000,1.500000,0.000000,0.000000,2.716638
0.200000,1.986824,7.477765,9.600000,1.500000,0.000000,0.000000,2.864721
0.200000,1.694189,7.543168,9.900000,1.500000,0.000000,0.000000,2.972624
0.200000,1.396743,7.581682,10.200000,1.500000,0.000000,0.000000,3.048357
0.200000,1.097427,7.601432,10.500000,1.500000,0.000000,0.000000,3.099461
0.200000,0.797531,7.608864,10.800000,1.500000,0.000000,0.000000,3.131282
0.200000,0.510438,7.609282,11.087096,1.370963,-0.645184,-3.225922,3.146705
0.200000,0.273752,7.607576,11.323789,0.995963,-1.875000,-6.149078,3.149427
0.200000,0.112062,7.606513,11.485482,0.620963,-1.875000,0.000000,3.146225
0.200000,0.025370,7.606251,11.572174,0.245963,-1.875000,0.000000,3.142790
0.200000,0.000774,7.606236,11.596770,0.000000,-1.229816,3.225922,3.141593
0.200000,0.000774,7.606236,11.596770,0.000000,0.000000,6.149078,3.141593
