dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.130817,1.654327,3.662301,1.641290,-0.503950,-1.425035,1.114337
0.200000,3.262631,1.955461,3.991020,1.643596,0.011529,2.577396,1.201683
0.200000,3.367803,2.265467,4.318381,1.636804,-0.033959,-0.227438,1.284881
0.200000,3.447347,2.580587,4.643385,1.625021,-0.058917,-0.124790,1.360889
0.200000,3.503653,2.897545,4.965306,1.609603,-0.077088,-0.090858,1.427496
0.200000,3.540022,3.213877,5.283721,1.592079,-0.087622,-0.052668,1.483428
0.200000,3.560182,3.527974,5.598464,1.573714,-0.091827,-0.021024,1.528182
0.200000,3.567938,3.838942,5.909529,1.555324,-0.091947,-0.000602,1.561756
0.200000,3.566970,4.146399,6.216987,1.537292,-0.090161,0.008931,1.584378
0.200000,3.560765,4.450270,6.520922,1.519674,-0.088090,0.010354,1.596307
0.200000,3.552627,4.750625,6.821387,1.502323,-0.086754,0.006682,1.597715
0.200000,3.545720,5.047543,7.118386,1.484995,-0.086644,0.000547,1.588624
0.200000,3.543113,5.341018,7.411872,1.467430,-0.087822,-0.005887,1.568899
0.200000,3.541700,5.644939,7.715796,1.519622,0.260959,1.743903,1.602218
0.200000,3.518797,5.970677,8.042339,1.632714,0.565462,1.522514,1.682921
0.200000,3.464664,6.300786,8.376856,1.672587,0.199364,-1.830491,1.787987
0.200000,3.368156,6.632183,8.722020,1.725817,0.266149,0.333925,1.925671
0.200000,3.215688,6.955785,9.079741,1.788607,0.313952,0.239018,2.101995
0.200000,2.997479,7.252482,9.448041,1.841498,0.264453,-0.247495,2.311007
0.200000,2.719449,7.497314,9.818504,1.852318,0.054101,-1.051762,2.526724
0.200000,2.404705,7.676396,10.180629,1.810623,-0.208474,-1.312875,2.716638
0.200000,2.077028,7.795197,10.529177,1.742741,-0.339410,-0.654680,2.864721
0.200000,1.749683,7.868468,10.864622,1.677225,-0.327581,0.059146,2.972624
0.200000,1.427466,7.910248,11.189537,1.624571,-0.263269,0.321558,3.048357
0.200000,1.111326,7.931139,11.506367,1.584150,-0.202105,0.305819,3.099461
0.200000,0.800934,7.938847,11.816855,1.552440,-0.158552,0.217764,3.131282
0.200000,0.508751,7.939278,12.109038,1.460915,-0.457623,-1.495353,3.146705
0.200000,0.271166,7.937566,12.346628,1.187954,-1.364807,-4.535922,3.149427
0.200000,0.110534,7.936509,12.507264,0.803180,-1.923869,-2.795308,3.146225
0.200000,0.024975,7.936251,12.592824,0.427796,-1.876920,0.234746,3.142790
0.200000,0.000774,7.936236,12.617025,0.121005,-1.533952,1.714838,3.141593
0.200000,0.000774,7.936236,12.617025,0.000000,-0.605027,4.644625,3.141593
