dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036315,0.992897,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.151606,0.991986,0.152795,0.576474,1.007369,-4.338153,6.271354
0.200000,0.340990,0.989037,0.342202,0.947035,1.852804,4.227173,6.265575
0.200000,0.600430,0.985216,0.601670,1.297343,1.751541,-0.506317,6.274758
0.200000,0.888483,0.987281,0.889731,1.440303,0.714800,-5.183704,0.027705
0.200000,1.165986,1.003412,1.167701,1.389853,-0.252248,-4.835238,0.094305
0.200000,1.429652,1.041010,1.434035,1.331670,-0.290918,-0.193353,0.195976
0.200000,1.674716,1.106750,1.687763,1.268640,-0.315148,-0.121146,0.335569
0.200000,1.896624,1.205576,1.930682,1.214595,-0.270226,0.224607,0.507628
0.200000,2.093298,1.340244,2.169044,1.191807,-0.113938,0.781443,0.693365
0.200000,2.264885,1.510982,2.411105,1.210308,0.092506,1.032216,0.868000
0.200000,2.411957,1.714426,2.662143,1.255187,0.224392,0.659433,1.015678
0.200000,2.532201,1.938699,2.916617,1.272369,0.085910,-0.692410,1.140634
0.200000,2.626628,2.182096,3.177688,1.305357,0.164943,0.395163,1.258142
0.200000,2.695415,2.439943,3.444553,1.334322,0.144826,-0.100587,1.358215
0.200000,2.742179,2.710071,3.718699,1.370734,0.182055,0.186149,1.436346
0.200000,2.771692,2.990342,4.000520,1.409102,0.191844,0.048946,1.491328
0.200000,2.789443,3.279124,4.289846,1.446632,0.187650,-0.020975,1.523633
0.200000,2.801343,3.575449,4.586410,1.482821,0.180944,-0.033525,1.534041
0.200000,2.813657,3.878883,4.890094,1.518416,0.177974,-0.014854,1.522874
0.200000,2.833130,4.189177,5.200998,1.554522,0.180532,0.012791,1.489787
0.200000,2.867159,4.505722,5.519368,1.591848,0.186629,0.030488,1.433996
0.200000,2.923754,4.826736,5.845332,1.629821,0.189865,0.016177,1.355059
0.200000,3.010874,5.148259,6.178449,1.665585,0.178819,-0.055231,1.254276
0.200000,3.134791,5.463519,6.517188,1.693696,0.140557,-0.191306,1.136287
0.200000,3.278696,5.742217,6.830846,1.568288,-0.627044,-3.838005,1.086217
0.200000,3.416063,6.006408,7.128616,1.488849,-0.397195,1.149244,1.092973
0.200000,3.557496,6.276101,7.433144,1.522641,0.168962,2.830783,1.079244
0.200000,3.708773,6.548337,7.744588,1.557219,0.172887,0.019625,1.044518
0.200000,3.876128,6.819543,8.063272,1.593424,0.181029,0.040712,0.987767
0.200000,4.065931,7.084808,8.389449,1.630883,0.187296,0.031333,0.908183
0.200000,4.283722,7.337234,8.722843,1.666970,0.180433,-0.034314,0.806553
0.200000,4.529937,7.565883,9.058852,1.680046,0.065380,-0.575263,0.688180
0.200000,4.766208,7.739324,9.351949,1.465485,-1.072807,-5.690935,0.577693
0.200000,4.944658,7.845834,9.559769,1.039097,-2.131940,-5.295664,0.498639
0.200000,5.052980,7.901641,9.681621,0.609263,-2.149171,-0.086160,0.452950
0.200000,5.088591,7.918652,9.721086,0.197325,-2.059685,0.447430,0.438337
0.200000,5.088591,7.918652,9.721086,0.000000,-0.986627,5.365290,0.438337
