dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035205,0.662899,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.147702,0.662009,0.150000,0.750000,1.875000,0.000000,6.271354
0.200000,0.335179,0.659088,0.337500,1.125000,1.875000,0.000000,6.265575
0.200000,0.597649,0.655228,0.600000,1.500000,1.875000,0.000000,6.274758
0.200000,0.897625,0.657407,0.900000,1.500000,0.000000,-9.375000,0.027705
0.200000,1.197060,0.674879,1.200000,1.500000,0.000000,0.000000,0.094305
0.200000,1.493911,0.717327,1.500000,1.500000,0.000000,0.000000,0.195976
0.200000,1.783387,0.795156,1.800000,1.500000,0.000000,0.000000,0.335569
0.200000,2.057039,0.917189,2.100000,1.500000,0.000000,0.000000,0.507628
0.200000,2.304210,1.086441,2.400000,1.500000,0.000000,0.000000,0.693365
0.200000,2.516687,1.297685,2.700000,1.500000,0.000000,0.000000,0.868000
0.200000,2.692404,1.540502,3.000000,1.500000,0.000000,0.000000,1.015678
0.200000,2.832138,1.801083,3.300000,1.500000,0.000000,0.000000,1.140634
0.200000,2.940629,2.080593,3.600000,1.500000,0.000000,0.000000,1.258142
0.200000,3.017987,2.370318,3.900000,1.500000,0.000000,0.000000,1.358215
0.200000,3.069201,2.665836,4.200000,1.500000,0.000000,0.000000,1.436346
0.200000,3.100650,2.964145,4.500000,1.500000,0.000000,0.000000,1.491328
0.200000,3.119076,3.263566,4.800000,1.500000,0.000000,0.000000,1.523633
0.200000,3.131120,3.563322,5.100000,1.500000,0.000000,0.000000,1.534041
0.200000,3.143278,3.863074,5.400000,1.500000,0.000000,0.000000,1.522874
0.200000,3.162047,4.162473,5.700000,1.500000,0.000000,0.000000,1.489787
0.200000,3.194076,4.460719,6.000000,1.500000,0.000000,0.000000,1.433996
0.200000,3.246104,4.756094,6.300000,1.500000,0.000000,0.000000,1.355059
0.200000,3.324481,5.045543,6.600000,1.500000,0.000000,0.000000,1.254276
0.200000,3.434127,5.324600,6.900000,1.500000,0.000000,0.000000,1.136287
0.200000,3.570703,5.588491,7.200000,1.500000,0.000000,0.000000,1.086217
0.200000,3.709102,5.854659,7.500000,1.500000,0.000000,0.000000,1.092973
0.200000,3.848425,6.120342,7.800000,1.500000,0.000000,0.000000,1.079244
0.200000,3.994118,6.382572,8.100000,1.500000,0.000000,0.000000,1.044518
0.200000,4.151611,6.637859,8.400000,1.500000,0.000000,0.000000,0.987767
0.200000,4.326099,6.881799,8.700000,1.500000,0.000000,0.000000,0.908183
0.200000,4.521951,7.108877,9.000000,1.500000,0.000000,0.000000,0.806553
0.200000,4.739531,7.310989,9.297143,1.471429,-0.142855,-0.714275,0.688180
0.200000,4.946418,7.462875,9.553929,1.096429,-1.875000,-8.660725,0.577693
0.200000,5.102474,7.556017,9.735714,0.721429,-1.875000,0.000000,0.498639
0.200000,5.197394,7.604918,9.842500,0.346429,-1.875000,0.000000,0.452950
0.200000,5.228654,7.619850,9.877143,0.000000,-1.732145,0.714275,0.438337
0.200000,5.228654,7.619850,9.877143,0.000000,0.000000,8.660725,0.438337
