dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.132074,1.663467,3.670934,1.684456,-0.288121,-0.345889,1.140634
0.200000,3.254631,1.979090,4.009516,1.692912,0.042277,1.651993,1.258142
0.200000,3.340558,2.300693,4.342400,1.664422,-0.142449,-0.923629,1.358215
0.200000,3.396223,2.621601,4.668101,1.628502,-0.179602,-0.185765,1.436346
0.200000,3.429609,2.937948,4.986205,1.590519,-0.189913,-0.051559,1.491328
0.200000,3.448709,3.248008,5.296852,1.553236,-0.186413,0.017505,1.523633
0.200000,3.460897,3.551196,5.600285,1.517165,-0.180359,0.030266,1.534041
0.200000,3.472899,3.847266,5.896598,1.481568,-0.177984,0.011879,1.522874
0.200000,3.490965,4.135769,6.185666,1.445340,-0.181139,-0.015776,1.489787
0.200000,3.520993,4.415716,6.467219,1.407762,-0.187892,-0.033765,1.433996
0.200000,3.568454,4.685451,6.741098,1.369398,-0.191819,-0.019633,1.355059
0.200000,3.638088,4.942826,7.007727,1.333142,-0.181282,0.052683,1.254276
0.200000,3.733462,5.185682,7.268638,1.304559,-0.142913,0.191843,1.136287
0.200000,3.862711,5.434765,7.549258,1.403100,0.492704,3.178086,1.086217
0.200000,4.002142,5.702909,7.851487,1.511145,0.540226,0.237608,1.092973
0.200000,4.139353,5.964584,8.146954,1.477335,-0.169051,-3.546384,1.079244
0.200000,4.279463,6.216807,8.435480,1.442630,-0.173523,-0.022358,1.044518
0.200000,4.427095,6.456176,8.716715,1.406172,-0.182288,-0.043824,0.987767
0.200000,4.586266,6.678790,8.990379,1.368323,-0.189245,-0.034787,0.908183
0.200000,4.760180,6.880520,9.256726,1.331736,-0.182937,0.031542,0.806553
0.200000,4.949124,7.056096,9.514655,1.289643,-0.210464,-0.137635,0.688180
0.200000,5.126629,7.186426,9.734868,1.101064,-0.942895,-3.662155,0.577693
0.200000,5.260290,7.266199,9.890525,0.778286,-1.613892,-3.354985,0.498639
0.200000,5.341809,7.308196,9.982226,0.458503,-1.598916,0.074879,0.452950
0.200000,5.368717,7.321049,10.012046,0.149102,-1.547002,0.259572,0.438337
0.200000,5.368717,7.321049,10.012046,0.000000,-0.745511,4.007456,0.438337
