dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036315,0.992897,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.151606,0.991986,0.152795,0.576474,1.007369,-4.338153,6.271354
0.200000,0.340990,0.989037,0.342202,0.947035,1.852804,4.227173,6.265575
0.200000,0.600430,0.985216,0.601670,1.297343,1.751541,-0.506317,6.274758
0.200000,0.888483,0.987281,0.889731,1.440303,0.714800,-5.183704,0.027705
0.200000,1.165986,1.003412,1.167701,1.389853,-0.252248,-4.835238,0.094305
0.200000,1.429652,1.041010,1.434035,1.331670,-0.290918,-0.193353,0.195976
0.200000,1.674716,1.106750,1.687763,1.268640,-0.315148,-0.121146,0.335569
0.200000,1.896624,1.205576,1.930682,1.214595,-0.270226,0.224607,0.507628
0.200000,2.093298,1.340244,2.169044,1.191807,-0.113938,0.781443,0.693365
0.200000,2.264885,1.510982,2.411105,1.210308,0.092506,1.032216,0.868000
0.200000,2.411957,1.714426,2.662143,1.255187,0.224392,0.659433,1.015678
0.200000,2.524127,1.929514,2.904722,1.212895,-0.211457,-2.179245,1.176336
0.200000,2.599223,2.163696,3.150650,1.229641,0.083729,1.475928,1.339359
0.200000,2.640812,2.417147,3.407490,1.284202,0.272802,0.945365,1.469594
0.200000,2.654785,2.686462,3.677168,1.348387,0.320925,0.240618,1.561195
0.200000,2.648897,2.968295,3.959063,1.409475,0.305440,-0.077427,1.615952
0.200000,2.631764,3.260794,4.252063,1.465002,0.277639,-0.139006,1.637145
0.200000,2.612467,3.563715,4.555598,1.517674,0.263359,-0.071401,1.626429
0.200000,2.600968,3.877831,4.869924,1.571629,0.269774,0.032075,1.582942
0.200000,2.608983,4.203786,5.195977,1.630268,0.293197,0.117118,1.503732
0.200000,2.650557,4.539886,5.534639,1.693307,0.315194,0.109985,1.385981
0.200000,2.740442,4.878539,5.885017,1.751891,0.292919,-0.111376,1.232269
0.200000,2.888010,5.204127,6.242486,1.787345,0.177268,-0.578257,1.056722
0.200000,3.090159,5.498339,6.599453,1.784833,-0.012560,-0.949137,0.882724
0.200000,3.310409,5.732895,6.921208,1.608775,-0.880290,-4.338653,0.812756
0.200000,3.490457,5.944330,7.198917,1.388546,-1.101144,-1.104271,0.880131
0.200000,3.726450,6.199220,7.546280,1.736818,1.741363,14.212537,0.735643
0.200000,4.077636,6.422573,7.962475,2.080974,1.720778,-0.102925,0.376592
0.200000,4.494892,6.496964,8.386311,2.119179,0.191027,-7.648757,6.273384
0.200000,4.837152,6.462716,8.730279,1.719842,-1.996688,-10.938575,6.139269
0.200000,5.077403,6.441447,8.971470,1.205953,-2.569443,-2.863775,0.033356
0.200000,5.228447,6.477421,9.126739,0.776347,-2.148031,2.107061,0.462152
0.200000,5.375515,6.581819,9.307094,0.901774,0.627138,13.875845,0.821788
0.200000,5.451068,6.714546,9.459818,0.763618,-0.690781,-6.589594,1.264087
0.200000,5.481161,6.914285,9.661812,1.009968,1.231748,9.612643,1.528635
0.200000,5.479447,7.130155,9.877688,1.079382,0.347071,-4.423383,1.608360
0.200000,5.472854,7.298821,10.046483,0.843977,-1.177026,-7.620486,1.603654
0.200000,5.470607,7.398639,10.146327,0.499215,-1.723808,-2.733910,1.580617
0.200000,5.470453,7.429251,10.176939,0.153060,-1.730777,-0.034845,1.570796
0.200000,5.470453,7.429251,10.176939,0.000000,-0.765300,4.827386,1.570796
