dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035205,0.662899,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.147702,0.662009,0.150000,0.750000,1.875000,0.000000,6.271354
0.200000,0.335179,0.659088,0.337500,1.125000,1.875000,0.000000,6.265575
0.200000,0.597649,0.655228,0.600000,1.500000,1.875000,0.000000,6.274758
0.200000,0.897625,0.657407,0.900000,1.500000,0.000000,-9.375000,0.027705
0.200000,1.197060,0.674879,1.200000,1.500000,0.000000,0.000000,0.094305
0.200000,1.493911,0.717327,1.500000,1.500000,0.000000,0.000000,0.195976
0.200000,1.783387,0.795156,1.800000,1.500000,0.000000,0.000000,0.335569
0.200000,2.057039,0.917189,2.100000,1.500000,0.000000,0.000000,0.507628
0.200000,2.304210,1.086441,2.400000,1.500000,0.000000,0.000000,0.693365
0.200000,2.516687,1.297685,2.700000,1.500000,0.000000,0.000000,0.868000
0.200000,2.692404,1.540502,3.000000,1.500000,0.000000,0.000000,1.015678
0.200000,2.828784,1.802692,3.300000,1.500000,0.000000,0.000000,1.176336
0.200000,2.920424,2.088002,3.600000,1.500000,0.000000,0.000000,1.339359
0.200000,2.969124,2.383807,3.900000,1.500000,0.000000,0.000000,1.469594
0.200000,2.984770,2.683293,4.200000,1.500000,0.000000,0.000000,1.561195
0.200000,2.978561,2.983192,4.500000,1.500000,0.000000,0.000000,1.615952
0.200000,2.961038,3.282674,4.800000,1.500000,0.000000,0.000000,1.637145
0.200000,2.941957,3.582065,5.100000,1.500000,0.000000,0.000000,1.626429
0.200000,2.930944,3.881839,5.400000,1.500000,0.000000,0.000000,1.582942
0.200000,2.938242,4.181671,5.700000,1.500000,0.000000,0.000000,1.503732
0.200000,2.974937,4.479243,6.000000,1.500000,0.000000,0.000000,1.385981
0.200000,3.051712,4.768946,6.300000,1.500000,0.000000,0.000000,1.232269
0.200000,3.175357,5.041856,6.600000,1.500000,0.000000,0.000000,1.056722
0.200000,3.345075,5.288773,6.900000,1.500000,0.000000,0.000000,0.882724
0.200000,3.550050,5.506020,7.200000,1.500000,0.000000,0.000000,0.812756
0.200000,3.744829,5.734103,7.500000,1.500000,0.000000,0.000000,0.880131
0.200000,3.947901,5.954558,7.800000,1.500000,0.000000,0.000000,0.735643
0.200000,4.198995,6.115698,8.100000,1.500000,0.000000,0.000000,0.376592
0.200000,4.491658,6.166980,8.400000,1.500000,0.000000,0.000000,6.273384
0.200000,4.789823,6.136128,8.700000,1.500000,0.000000,0.000000,6.139269
0.200000,5.088408,6.111631,9.000000,1.500000,0.000000,0.000000,0.033356
0.200000,5.375586,6.182040,9.300000,1.500000,0.000000,0.000000,0.462152
0.200000,5.617195,6.357118,9.600000,1.500000,0.000000,0.000000,0.821788
0.200000,5.765668,6.614911,9.900000,1.500000,0.000000,0.000000,1.264087
0.200000,5.810867,6.900376,10.189871,1.398714,-0.506429,-2.532145,1.528635
0.200000,5.809214,7.142548,10.432114,1.023714,-1.875000,-6.842855,1.608360
0.200000,5.802675,7.309662,10.599357,0.648714,-1.875000,0.000000,1.603654
0.200000,5.800591,7.401880,10.691600,0.273714,-1.875000,0.000000,1.580617
0.200000,5.800453,7.429251,10.718971,0.000000,-1.368571,2.532145,1.570796
0.200000,5.800453,7.429251,10.718971,0.000000,0.000000,6.842855,1.570796
