dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.133441,1.675869,3.682540,1.742489,0.002044,1.104938,1.176336
0.200000,3.241625,2.012307,4.035945,1.767021,0.122658,0.603067,1.339359
0.200000,3.297435,2.350467,4.378679,1.713672,-0.266743,-1.947003,1.469594
0.200000,3.314755,2.680125,4.708791,1.650562,-0.315551,-0.244040,1.561195
0.200000,3.308225,2.998088,5.026821,1.590149,-0.302065,0.067431,1.615952
0.200000,3.290312,3.304553,5.333809,1.534940,-0.276044,0.130102,1.637145
0.200000,3.271446,3.600414,5.630271,1.482310,-0.263151,0.064464,1.626429
0.200000,3.260920,3.885847,5.915898,1.428134,-0.270881,-0.038650,1.582942
0.200000,3.267500,4.159557,6.189687,1.368945,-0.295944,-0.125312,1.503732
0.200000,3.299317,4.418601,6.450678,1.304956,-0.319947,-0.120018,1.385981
0.200000,3.362983,4.659354,6.699707,1.245143,-0.299062,0.104426,1.232269
0.200000,3.462704,4.879585,6.941463,1.208782,-0.181805,0.586286,1.056722
0.200000,3.599990,5.079206,7.183736,1.211363,0.012907,0.973560,0.882724
0.200000,3.789691,5.279145,7.459347,1.378058,0.833475,4.102840,0.812756
0.200000,3.999200,5.523877,7.781508,1.610805,1.163732,1.651283,0.880131
0.200000,4.169352,5.709896,8.033610,1.260506,-1.751494,-14.576126,0.735643
0.200000,4.320354,5.808824,8.214131,0.902609,-1.789487,-0.189968,0.376592
0.200000,4.488424,5.836996,8.384546,0.852075,-0.252666,7.684104,6.273384
0.200000,4.742494,5.809539,8.640096,1.277747,2.128360,11.905130,6.139269
0.200000,5.099413,5.781814,8.998090,1.789971,2.561120,2.163804,0.033356
0.200000,5.522725,5.886659,9.434192,2.180511,1.952698,-3.042113,0.462152
0.200000,5.858875,6.132417,9.850599,2.082032,-0.492395,-12.225467,0.821788
0.200000,6.080267,6.515276,10.292861,2.211310,0.646393,5.693943,1.264087
0.200000,6.140574,6.886467,10.668918,1.880288,-1.655110,-11.507516,1.528635
0.200000,6.138981,7.154941,10.937397,1.342394,-2.689473,-5.171816,1.608360
0.200000,6.132497,7.320504,11.103087,0.828448,-2.569730,0.598718,1.603654
0.200000,6.130575,7.405120,11.187725,0.423193,-2.026275,2.717275,1.580617
0.200000,6.130453,7.429251,11.211856,0.120653,-1.512699,2.567877,1.570796
0.200000,6.130453,7.429251,11.211856,0.000000,-0.603264,4.547176,1.570796
