dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.133441,1.675869,3.682540,1.742489,0.002044,1.104938,1.176336
0.200000,3.241625,2.012307,4.035945,1.767021,0.122658,0.603067,1.339359
0.200000,3.297435,2.350467,4.378679,1.713672,-0.266743,-1.947003,1.469594
0.200000,3.314755,2.680125,4.708791,1.650562,-0.315551,-0.244040,1.561195
0.200000,3.308225,2.998088,5.026821,1.590149,-0.302065,0.067431,1.615952
0.200000,3.290312,3.304553,5.333809,1.534940,-0.276044,0.130102,1.637145
0.200000,3.271446,3.600414,5.630271,1.482310,-0.263151,0.064464,1.626429
0.200000,3.260920,3.885847,5.915898,1.428134,-0.270881,-0.038650,1.582942
0.200000,3.267500,4.159557,6.189687,1.368945,-0.295944,-0.125312,1.503732
0.200000,3.299317,4.418601,6.450678,1.304956,-0.319947,-0.120018,1.385981
0.200000,3.362983,4.659354,6.699707,1.245143,-0.299062,0.104426,1.232269
0.200000,3.462704,4.879585,6.941463,1.208782,-0.181805,0.586286,1.056722
0.200000,3.599990,5.079206,7.183736,1.211363,0.012907,0.973560,0.882724
0.200000,3.789691,5.279145,7.459347,1.378058,0.833475,4.102840,0.812756
0.200000,3.999200,5.523877,7.781508,1.610805,1.163732,1.651283,0.880131
0.200000,4.169352,5.709896,8.033610,1.260506,-1.751494,-14.576126,0.735643
0.200000,4.320354,5.808824,8.214131,0.902609,-1.789487,-0.189968,0.376592
0.200000,4.513829,5.841589,8.410362,0.981151,0.392712,10.910994,0.068492
0.200000,4.794369,5.851316,8.691070,1.403543,2.111961,8.596244,0.010155
0.200000,5.092410,5.852150,8.989112,1.490211,0.433338,-8.393114,0.004225
0.200000,5.407631,5.859496,9.304418,1.576530,0.431599,-0.008695,0.050695
0.200000,5.686223,5.878812,9.583679,1.396304,-0.901130,-6.663645,6.274519
0.200000,5.958409,5.856920,9.856745,1.365327,-0.154887,3.731216,6.193156
0.200000,6.345466,5.864330,10.243873,1.935639,2.851561,15.032239,0.177676
0.200000,6.772308,6.069229,10.717346,2.367370,2.158652,-3.464545,0.721746
0.200000,7.022912,6.376944,11.114198,1.984256,-1.915570,-20.371112,1.021628
0.200000,7.176870,6.760117,11.527144,2.064732,0.402383,11.589767,1.370323
0.200000,7.178392,7.187232,11.954262,2.135589,0.354284,-0.240494,1.767049
0.200000,6.980029,7.598131,12.410536,2.281369,0.728902,1.873087,2.272571
0.200000,6.726010,7.821443,12.748757,1.691107,-2.951313,-18.401075,2.538627
0.200000,6.562636,7.925908,12.942675,0.969591,-3.607577,-3.281317,2.591650
0.200000,6.480131,7.976935,13.039685,0.485047,-2.422719,5.924289,2.578211
0.200000,6.456226,7.992208,13.068052,0.141838,-1.716046,3.533362,2.567288
0.200000,6.456226,7.992208,13.068052,0.000000,-0.709191,5.034278,2.567288
