dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.132952,1.676858,3.683194,1.745756,0.018377,1.186600,1.181494
0.200000,3.239738,2.010063,4.033092,1.749493,0.018688,0.001559,1.333729
0.200000,3.299556,2.341076,4.369467,1.681872,-0.338105,-1.783968,1.444477
0.200000,3.327531,2.664624,4.694222,1.623776,-0.290481,0.238120,1.519726
0.200000,3.335633,2.979900,5.009601,1.576897,-0.234397,0.280421,1.566416
0.200000,3.332883,3.287496,5.317210,1.538045,-0.194256,0.200704,1.589494
0.200000,3.326449,3.588083,5.617866,1.503279,-0.173830,0.102129,1.591482
0.200000,3.322610,3.881822,5.911630,1.468818,-0.172309,0.007607,1.572596
0.200000,3.327461,4.167958,6.197807,1.430886,-0.189660,-0.086756,1.530771
0.200000,3.347367,4.444337,6.474902,1.385474,-0.227059,-0.186994,1.461528
0.200000,3.389023,4.706836,6.740686,1.328922,-0.282760,-0.278506,1.358203
0.200000,3.458825,4.949237,6.992937,1.261253,-0.338343,-0.277916,1.214169
0.200000,3.561661,5.164835,7.231804,1.194337,-0.334578,0.018825,1.029949
0.200000,3.700436,5.349896,7.463118,1.156572,-0.188827,0.728755,0.823074
0.200000,3.876210,5.504468,7.697189,1.170351,0.068896,1.288619,0.624463
0.200000,4.086279,5.629546,7.941675,1.222430,0.260396,0.957501,0.457107
0.200000,4.323686,5.726615,8.198160,1.282426,0.299977,0.197904,0.325804
0.200000,4.580428,5.798468,8.464767,1.333035,0.253044,-0.234665,0.224949
0.200000,4.849997,5.848694,8.738975,1.371041,0.190030,-0.315072,0.147011
0.200000,5.131531,5.881859,9.022456,1.417404,0.231816,0.208931,0.107969
0.200000,5.440187,5.921471,9.333643,1.555936,0.692659,2.304214,0.141915
0.200000,5.737923,5.965185,9.634571,1.504643,-0.256465,-4.745620,0.144729
0.200000,6.026183,6.003945,9.925425,1.454270,-0.251862,0.023015,0.117042
0.200000,6.303745,6.028601,10.204080,1.393275,-0.304976,-0.265570,0.052506
0.200000,6.565003,6.028638,10.465338,1.306287,-0.434941,-0.649824,6.218737
0.200000,6.797275,5.992965,10.700334,1.174980,-0.656535,-1.107972,6.022886
0.200000,6.984417,5.914800,10.903144,1.014049,-0.804653,-0.740588,5.730580
0.200000,7.126894,5.789603,11.092811,0.948339,-0.328552,2.380505,5.398936
0.200000,7.235600,5.608899,11.303693,1.054408,0.530344,4.294479,5.130798
0.200000,7.311000,5.381252,11.543502,1.199047,0.723196,0.964259,4.949396
0.200000,7.352341,5.151288,11.777152,1.168248,-0.153994,-4.385948,4.838632
0.200000,7.369479,4.969399,11.959847,0.913477,-1.273858,-5.599319,4.776766
0.200000,7.375094,4.852057,12.077323,0.587379,-1.630490,-1.783161,4.744461
0.200000,7.376368,4.802946,12.126451,0.245639,-1.708696,-0.391029,4.732303
0.200000,7.376506,4.795697,12.133701,0.036248,-1.046955,3.308702,4.730569
0.200000,7.376506,4.795697,12.133701,0.000000,-0.181242,4.328563,4.730569
