dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036315,0.992897,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.151606,0.991986,0.152795,0.576474,1.007369,-4.338153,6.271354
0.200000,0.340990,0.989037,0.342202,0.947035,1.852804,4.227173,6.265575
0.200000,0.600430,0.985216,0.601670,1.297343,1.751541,-0.506317,6.274758
0.200000,0.888483,0.987281,0.889731,1.440303,0.714800,-5.183704,0.027705
0.200000,1.165986,1.003412,1.167701,1.389853,-0.252248,-4.835238,0.094305
0.200000,1.429652,1.041010,1.434035,1.331670,-0.290918,-0.193353,0.195976
0.200000,1.674716,1.106750,1.687763,1.268640,-0.315148,-0.121146,0.335569
0.200000,1.896624,1.205576,1.930682,1.214595,-0.270226,0.224607,0.507628
0.200000,2.093298,1.340244,2.169044,1.191807,-0.113938,0.781443,0.693365
0.200000,2.264885,1.510982,2.411105,1.210308,0.092506,1.032216,0.868000
0.200000,2.411957,1.714426,2.662143,1.255187,0.224392,0.659433,1.015678
0.200000,2.522337,1.927356,2.901982,1.199195,-0.279957,-2.521745,1.181494
0.200000,2.598198,2.165066,3.151503,1.247606,0.242052,2.610047,1.333729
0.200000,2.644815,2.424226,3.414822,1.316594,0.344941,0.514441,1.444477
0.200000,2.668392,2.698316,3.689925,1.375514,0.294602,-0.251696,1.519726
0.200000,2.675640,2.982790,3.974491,1.422833,0.236591,-0.290052,1.566416
0.200000,2.672999,3.275156,4.266869,1.461889,0.195283,-0.206541,1.589494
0.200000,2.666590,3.574432,4.566213,1.496721,0.174160,-0.105616,1.591482
0.200000,2.662611,3.880634,4.872441,1.531139,0.172090,-0.010350,1.572596
0.200000,2.667990,4.194367,5.186221,1.568898,0.188796,0.083531,1.530771
0.200000,2.691304,4.516310,5.509006,1.613928,0.225150,0.181772,1.461528
0.200000,2.743881,4.846094,5.842955,1.669743,0.279072,0.269607,1.358203
0.200000,2.840352,5.179653,6.190185,1.736150,0.332038,0.264833,1.214169
0.200000,2.995861,5.504644,6.550465,1.801402,0.326260,-0.028892,1.029949
0.200000,3.216498,5.798677,6.918074,1.838042,0.183198,-0.715307,0.823074
0.200000,3.490333,6.039910,7.283012,1.824689,-0.066765,-1.249817,0.624463
0.200000,3.794985,6.221786,7.637823,1.774058,-0.253155,-0.931952,0.457107
0.200000,4.112440,6.351894,7.980906,1.715414,-0.293221,-0.200326,0.325804
0.200000,4.433210,6.441840,8.314048,1.665713,-0.248502,0.223594,0.224949
0.200000,4.753319,6.501574,8.639683,1.628171,-0.187712,0.303947,0.147011
0.200000,5.065284,6.538105,8.953780,1.570485,-0.288429,-0.503581,0.094293
0.200000,5.373811,6.563382,9.263340,1.547802,-0.113415,0.875071,0.065289
0.200000,5.692233,6.575948,9.582010,1.593352,0.227748,1.705815,0.008583
0.200000,6.023446,6.564127,9.913434,1.657119,0.318837,0.455445,6.196162
0.200000,6.369487,6.508651,10.263893,1.752296,0.475881,0.785220,6.042206
0.200000,6.723010,6.378519,10.640607,1.883567,0.656357,0.902379,5.807097
0.200000,7.046520,6.144410,11.039938,1.996659,0.565458,-0.454495,5.501325
0.200000,7.282342,5.825737,11.436379,1.982201,-0.072289,-3.188738,5.204632
0.200000,7.418304,5.481574,11.806424,1.850226,-0.659872,-2.937913,4.983301
0.200000,7.478481,5.185457,12.108594,1.510851,-1.696878,-5.185029,4.848849
0.200000,7.498976,4.979751,12.315318,1.033618,-2.386163,-3.446428,4.776911
0.200000,7.504528,4.860099,12.435099,0.598908,-2.173551,1.063060,4.741280
0.200000,7.505440,4.821310,12.473899,0.193998,-2.024549,0.745010,4.730569
0.200000,7.505440,4.821310,12.473899,0.000000,-0.969991,5.272792,4.730569
