dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.132952,1.676858,3.683194,1.745756,0.018377,1.186600,1.181494
0.200000,3.239738,2.010063,4.033092,1.749493,0.018688,0.001559,1.333729
0.200000,3.299556,2.341076,4.369467,1.681872,-0.338105,-1.783968,1.444477
0.200000,3.327531,2.664624,4.694222,1.623776,-0.290481,0.238120,1.519726
0.200000,3.335633,2.979900,5.009601,1.576897,-0.234397,0.280421,1.566416
0.200000,3.332883,3.287496,5.317210,1.538045,-0.194256,0.200704,1.589494
0.200000,3.326449,3.588083,5.617866,1.503279,-0.173830,0.102129,1.591482
0.200000,3.322610,3.881822,5.911630,1.468818,-0.172309,0.007607,1.572596
0.200000,3.327461,4.167958,6.197807,1.430886,-0.189660,-0.086756,1.530771
0.200000,3.347367,4.444337,6.474902,1.385474,-0.227059,-0.186994,1.461528
0.200000,3.389023,4.706836,6.740686,1.328922,-0.282760,-0.278506,1.358203
0.200000,3.458825,4.949237,6.992937,1.261253,-0.338343,-0.277916,1.214169
0.200000,3.561661,5.164835,7.231804,1.194337,-0.334578,0.018825,1.029949
0.200000,3.700436,5.349896,7.463118,1.156572,-0.188827,0.728755,0.823074
0.200000,3.876210,5.504468,7.697189,1.170351,0.068896,1.288619,0.624463
0.200000,4.086279,5.629546,7.941675,1.222430,0.260396,0.957501,0.457107
0.200000,4.323686,5.726615,8.198160,1.282426,0.299977,0.197904,0.325804
0.200000,4.580428,5.798468,8.464767,1.333035,0.253044,-0.234665,0.224949
0.200000,4.849997,5.848694,8.738975,1.371041,0.190030,-0.315072,0.147011
0.200000,5.127425,5.881037,9.018282,1.396536,0.127479,-0.312757,0.094293
0.200000,5.416871,5.904788,9.308701,1.452093,0.277783,0.751525,0.065289
0.200000,5.697898,5.915973,9.589950,1.406248,-0.229227,-2.535051,0.008583
0.200000,5.966084,5.906624,9.858299,1.341741,-0.322533,-0.466532,6.196162
0.200000,6.211976,5.867722,10.107249,1.244752,-0.484945,-0.812060,6.042206
0.200000,6.420528,5.791915,10.329152,1.109513,-0.676197,-0.956260,5.807097
0.200000,6.581483,5.676071,10.527460,0.991545,-0.589840,0.431786,5.501325
0.200000,6.700701,5.513818,10.728803,1.006712,0.075838,3.328388,5.204632
0.200000,6.782376,5.304952,10.953071,1.121341,0.573143,2.486527,4.983301
0.200000,6.824617,5.095673,11.166571,1.067497,-0.269218,-4.211806,4.848849
0.200000,6.840349,4.937196,11.325826,0.796277,-1.356104,-5.434431,4.776911
0.200000,6.844804,4.841033,11.422092,0.481329,-1.574737,-1.093162,4.741280
0.200000,6.845549,4.809312,11.453822,0.158653,-1.613384,-0.193235,4.730569
0.200000,6.845549,4.809312,11.453822,0.000000,-0.793263,4.100605,4.730569
