dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034096,0.332901,0.037500,0.375000,1.875000,9.375000,6.279824
0.200000,0.143797,0.332032,0.147205,0.548523,0.867615,-5.036927,6.271354
0.200000,0.329367,0.329139,0.332797,0.927963,1.897200,5.147927,6.265575
0.200000,0.594868,0.325239,0.598327,1.327648,1.998424,0.506122,6.274758
0.200000,0.906767,0.327534,0.910233,1.559533,1.159428,-4.194983,0.027705
0.200000,1.228135,0.346345,1.232152,1.609592,0.250292,-4.545681,0.094305
0.200000,1.558170,0.393644,1.565559,1.667037,0.287227,0.184678,0.195976
0.200000,1.892058,0.483562,1.911343,1.728919,0.309408,0.110906,0.335569
0.200000,2.217453,0.628802,2.267681,1.781690,0.263857,-0.227759,0.507628
0.200000,2.515123,0.832638,2.628453,1.803859,0.110843,-0.765070,0.693365
0.200000,2.768490,1.084389,2.985626,1.785869,-0.089948,-1.003952,0.868000
0.200000,2.972851,1.366577,3.334043,1.742080,-0.218943,-0.644978,1.015678
0.200000,3.132952,1.676858,3.683194,1.745756,0.018377,1.186600,1.181494
0.200000,3.239738,2.010063,4.033092,1.749493,0.018688,0.001559,1.333729
0.200000,3.299556,2.341076,4.369467,1.681872,-0.338105,-1.783968,1.444477
0.200000,3.327531,2.664624,4.694222,1.623776,-0.290481,0.238120,1.519726
0.200000,3.335633,2.979900,5.009601,1.576897,-0.234397,0.280421,1.566416
0.200000,3.332883,3.287496,5.317210,1.538045,-0.194256,0.200704,1.589494
0.200000,3.326449,3.588083,5.617866,1.503279,-0.173830,0.102129,1.591482
0.200000,3.322610,3.881822,5.911630,1.468818,-0.172309,0.007607,1.572596
0.200000,3.327461,4.167958,6.197807,1.430886,-0.189660,-0.086756,1.530771
0.200000,3.347367,4.444337,6.474902,1.385474,-0.227059,-0.186994,1.461528
0.200000,3.389023,4.706836,6.740686,1.328922,-0.282760,-0.278506,1.358203
0.200000,3.458825,4.949237,6.992937,1.261253,-0.338343,-0.277916,1.214169
0.200000,3.561661,5.164835,7.231804,1.194337,-0.334578,0.018825,1.029949
0.200000,3.700436,5.349896,7.463118,1.156572,-0.188827,0.728755,0.823074
0.200000,3.876210,5.504468,7.697189,1.170351,0.068896,1.288619,0.624463
0.200000,4.086279,5.629546,7.941675,1.222430,0.260396,0.957501,0.457107
0.200000,4.323686,5.726615,8.198160,1.282426,0.299977,0.197904,0.325804
0.200000,4.580428,5.798468,8.464767,1.333035,0.253044,-0.234665,0.224949
0.200000,4.849997,5.848694,8.738975,1.371041,0.190030,-0.315072,0.147011
0.200000,5.122198,5.880099,9.012981,1.370032,-0.005041,-0.975357,0.077611
0.200000,5.381396,5.885327,9.272232,1.296255,-0.368889,-1.819236,6.237808
0.200000,5.621327,5.854814,9.514095,1.209315,-0.434697,-0.329044,6.062569
0.200000,5.827534,5.783030,9.732440,1.091724,-0.587956,-0.766292,5.816797
0.200000,5.990163,5.668326,9.931451,0.995053,-0.483355,0.523005,5.513122
0.200000,6.112320,5.506930,10.133864,1.012065,0.085059,2.842069,5.219632
0.200000,6.195928,5.301799,10.355378,1.107573,0.477543,1.962418,4.995357
0.200000,6.239068,5.098136,10.563561,1.040912,-0.333306,-4.054243,4.855577
0.200000,6.255028,4.944638,10.717886,0.771628,-1.346421,-5.065574,4.779469
0.200000,6.259428,4.852709,10.809920,0.460168,-1.557298,-1.054384,4.741773
0.200000,6.260135,4.822926,10.839712,0.148958,-1.556052,0.006226,4.730569
0.200000,6.260135,4.822926,10.839712,0.000000,-0.744790,4.056313,4.730569
