dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033640,0.993031,0.037500,0.375000,1.875000,9.375000,0.004425
0.200000,0.141187,0.994305,0.145055,0.537775,0.813874,-5.305629,0.019407
0.200000,0.319796,1.000120,0.323759,0.893519,1.778719,4.824226,0.046046
0.200000,0.568232,1.016572,0.572739,1.244902,1.756918,-0.109007,0.086962
0.200000,0.849225,1.048317,0.855520,1.413903,0.845002,-4.559581,0.139045
0.200000,1.126188,1.095129,1.136411,1.404455,-0.047240,-4.461208,0.196833
0.200000,1.398043,1.158207,1.415487,1.395383,-0.045358,0.009410,0.260096
0.200000,1.663608,1.238547,1.692939,1.387257,-0.040633,0.023626,0.328262
0.200000,1.921657,1.336862,1.969082,1.380717,-0.032697,0.039679,0.400373
0.200000,2.170995,1.453507,2.244356,1.376369,-0.021744,0.054764,0.475107
0.200000,2.410535,1.588434,2.519283,1.374634,-0.008673,0.065352,0.550887
0.200000,2.639365,1.741184,2.794411,1.375643,0.005043,0.068583,0.626058
0.200000,2.829374,1.896891,3.040069,1.228292,-0.736755,-3.708989,0.777833
0.200000,2.989023,2.083868,3.285932,1.229312,0.005102,3.709283,0.941056
0.200000,3.129622,2.304520,3.547572,1.308200,0.394438,1.946682,1.056855
0.200000,3.255885,2.550345,3.823927,1.381775,0.367878,-0.132800,1.128328
0.200000,3.374449,2.813904,4.112927,1.444999,0.316120,-0.258791,1.161621
0.200000,3.493346,3.089761,4.413316,1.501946,0.284732,-0.156943,1.160442
0.200000,3.622010,3.373771,4.725110,1.558972,0.285131,0.001999,1.124650
0.200000,3.771875,3.661548,5.049571,1.622306,0.316669,0.157688,1.050298
0.200000,3.956727,3.945834,5.388672,1.695502,0.365981,0.246563,0.931203
0.200000,4.190364,4.212428,5.743155,1.772417,0.384572,0.092955,0.764857
0.200000,4.477926,4.438319,6.108831,1.828379,0.279811,-0.523805,0.563963
0.200000,4.806345,4.601421,6.475521,1.833449,0.025351,-1.272299,0.359934
0.200000,5.118742,4.690203,6.800289,1.623839,-1.048048,-5.366999,0.197905
0.200000,5.355707,4.724912,7.039782,1.197469,-2.131852,-5.419018,0.095520
0.200000,5.504686,4.734904,7.189096,0.746568,-2.254505,-0.613265,0.039389
0.200000,5.567730,4.736689,7.252165,0.315345,-2.156114,0.491958,0.017392
0.200000,5.578042,4.736851,7.262478,0.051566,-1.318895,4.186093,0.013888
0.200000,5.578042,4.736851,7.262478,0.000000,-0.257831,5.305319,0.013888
