dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036560,0.333037,0.037500,0.375000,1.875000,9.375000,0.004425
0.200000,0.153995,0.334430,0.154943,0.587215,1.061074,-4.069630,0.019407
0.200000,0.350176,0.340819,0.351228,0.981425,1.971053,4.549894,0.046046
0.200000,0.625555,0.359066,0.627211,1.379915,1.992447,0.106969,0.086962
0.200000,0.940700,0.394687,0.944363,1.585758,1.029217,-4.816148,0.139045
0.200000,1.255261,0.447873,1.263388,1.595128,0.046847,-4.911851,0.196833
0.200000,1.567777,0.520406,1.584211,1.604116,0.044944,-0.009517,0.260096
0.200000,1.876391,0.613789,1.906644,1.612162,0.040229,-0.023575,0.328262
0.200000,2.178900,0.729058,2.230370,1.618632,0.032350,-0.039394,0.400373
0.200000,2.472901,0.866606,2.554957,1.622933,0.021504,-0.054228,0.475107
0.200000,2.756008,1.026074,2.879886,1.624647,0.008572,-0.064659,0.550887
0.200000,3.026095,1.206358,3.204616,1.623650,-0.004985,-0.067786,0.626058
0.200000,3.292521,1.426683,3.550341,1.728624,0.524871,2.649282,0.777833
0.200000,3.522422,1.695171,3.903810,1.767346,0.193607,-1.656324,0.941056
0.200000,3.704359,1.980056,4.241835,1.690122,-0.386117,-2.898618,1.056855
0.200000,3.852325,2.267752,4.565352,1.617584,-0.362690,0.117135,1.128328
0.200000,3.979965,2.551322,4.876324,1.554862,-0.313614,0.245379,1.161621
0.200000,4.098553,2.826464,5.175934,1.498053,-0.284045,0.147847,1.160442
0.200000,4.217407,3.088986,5.464108,1.440867,-0.285927,-0.009411,1.124650
0.200000,4.344472,3.333322,5.739508,1.377002,-0.319323,-0.166981,1.050298
0.200000,4.486270,3.551900,6.000053,1.302722,-0.371403,-0.260400,0.931203
0.200000,4.647370,3.736250,6.244875,1.224112,-0.393050,-0.108234,0.764857
0.200000,4.830722,3.880525,6.478184,1.166544,-0.287838,0.526061,0.563963
0.200000,5.038805,3.983714,6.710448,1.161321,-0.026115,1.308613,0.359934
0.200000,5.248509,4.043086,6.928394,1.089731,-0.357950,-1.659174,0.197905
0.200000,5.418655,4.067921,7.100343,0.859744,-1.149937,-3.959935,0.095520
0.200000,5.530676,4.075416,7.212616,0.561362,-1.491910,-1.709867,0.039389
0.200000,5.579208,4.076789,7.261166,0.242754,-1.593038,-0.505635,0.017392
0.200000,5.587208,4.076914,7.269167,0.040005,-1.013749,2.896442,0.013888
0.200000,5.587208,4.076914,7.269167,0.000000,-0.200023,4.068632,0.013888
