dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033640,0.993031,0.037500,0.375000,1.875000,9.375000,0.004425
0.200000,0.141187,0.994305,0.145055,0.537775,0.813874,-5.305629,0.019407
0.200000,0.319796,1.000120,0.323759,0.893519,1.778719,4.824226,0.046046
0.200000,0.568232,1.016572,0.572739,1.244902,1.756918,-0.109007,0.086962
0.200000,0.849225,1.048317,0.855520,1.413903,0.845002,-4.559581,0.139045
0.200000,1.126188,1.095129,1.136411,1.404455,-0.047240,-4.461208,0.196833
0.200000,1.398043,1.158207,1.415487,1.395383,-0.045358,0.009410,0.260096
0.200000,1.663608,1.238547,1.692939,1.387257,-0.040633,0.023626,0.328262
0.200000,1.921657,1.336862,1.969082,1.380717,-0.032697,0.039679,0.400373
0.200000,2.170995,1.453507,2.244356,1.376369,-0.021744,0.054764,0.475107
0.200000,2.410535,1.588434,2.519283,1.374634,-0.008673,0.065352,0.550887
0.200000,2.639365,1.741184,2.794411,1.375643,0.005043,0.068583,0.626058
0.200000,2.837806,1.901412,3.049463,1.275261,-0.501907,-2.534751,0.750988
0.200000,3.016459,2.090905,3.309894,1.302156,0.134473,3.181899,0.870424
0.200000,3.184245,2.307999,3.584270,1.371880,0.348621,1.070739,0.947864
0.200000,3.346342,2.544863,3.871289,1.435094,0.316071,-0.162748,0.987145
0.200000,3.509621,2.794830,4.169859,1.492848,0.288768,-0.136513,0.991478
0.200000,3.682476,3.052116,4.479818,1.549795,0.284734,-0.020174,0.961264
0.200000,3.874919,3.310493,4.801987,1.610846,0.305259,0.102626,0.893899
0.200000,4.098262,3.561070,5.137652,1.678327,0.337403,0.160718,0.785320
0.200000,4.362503,3.789533,5.486964,1.746558,0.341157,0.018773,0.634888
0.200000,4.669623,3.976011,5.846264,1.796502,0.249718,-0.457195,0.453692
0.200000,4.990320,4.098289,6.189483,1.716092,-0.402052,-3.258848,0.275862
0.200000,5.260590,4.155372,6.465714,1.381159,-1.674664,-6.363063,0.142656
0.200000,5.443534,4.174084,6.649613,0.919493,-2.308329,-3.168326,0.062446
0.200000,5.538618,4.178177,6.744786,0.475863,-2.218148,0.450905,0.023962
0.200000,5.564428,4.178666,6.770600,0.129070,-1.733966,2.420912,0.013888
0.200000,5.564428,4.178666,6.770600,0.000000,-0.645350,5.443081,0.013888
