dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036560,0.333037,0.037500,0.375000,1.875000,9.375000,0.004425
0.200000,0.153995,0.334430,0.154943,0.587215,1.061074,-4.069630,0.019407
0.200000,0.350176,0.340819,0.351228,0.981425,1.971053,4.549894,0.046046
0.200000,0.625555,0.359066,0.627211,1.379915,1.992447,0.106969,0.086962
0.200000,0.940700,0.394687,0.944363,1.585758,1.029217,-4.816148,0.139045
0.200000,1.255261,0.447873,1.263388,1.595128,0.046847,-4.911851,0.196833
0.200000,1.567777,0.520406,1.584211,1.604116,0.044944,-0.009517,0.260096
0.200000,1.876391,0.613789,1.906644,1.612162,0.040229,-0.023575,0.328262
0.200000,2.178900,0.729058,2.230370,1.618632,0.032350,-0.039394,0.400373
0.200000,2.472901,0.866606,2.554957,1.622933,0.021504,-0.054228,0.475107
0.200000,2.756008,1.026074,2.879886,1.624647,0.008572,-0.064659,0.550887
0.200000,3.026095,1.206358,3.204616,1.623650,-0.004985,-0.067786,0.626058
0.200000,3.288164,1.418942,3.542066,1.687248,0.317987,1.614860,0.750988
0.200000,3.521096,1.665533,3.881277,1.696057,0.044049,-1.369690,0.870424
0.200000,3.720278,1.922943,4.206751,1.627368,-0.343446,-1.937475,0.947864
0.200000,3.897083,2.181153,4.519693,1.564712,-0.313282,0.150820,0.987145
0.200000,4.061933,2.433511,4.821123,1.507148,-0.287820,0.127310,0.991478
0.200000,4.223620,2.674276,5.111141,1.450090,-0.285290,0.012651,0.961264
0.200000,4.389402,2.897083,5.388858,1.388585,-0.307524,-0.111174,0.893899
0.200000,4.564916,3.094343,5.652897,1.320196,-0.341946,-0.172106,0.785320
0.200000,4.753941,3.258142,5.903018,1.250603,-0.347962,-0.030084,0.634888
0.200000,4.958892,3.382780,6.142892,1.199372,-0.256155,0.459035,0.453692
0.200000,5.170089,3.463243,6.368897,1.130027,-0.346729,-0.452869,0.275862
0.200000,5.354423,3.502076,6.557278,0.941903,-0.940617,-2.969441,0.142656
0.200000,5.484721,3.515370,6.688252,0.654872,-1.435157,-2.472698,0.062446
0.200000,5.554432,3.518367,6.758027,0.348874,-1.529988,-0.474157,0.023962
0.200000,5.573594,3.518729,6.777192,0.095826,-1.265239,1.323746,0.013888
0.200000,5.573594,3.518729,6.777192,0.000000,-0.479131,3.930542,0.013888
