dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034098,0.663048,0.037500,0.375000,1.875000,9.375000,0.005420
0.200000,0.146584,0.664684,0.150000,0.750000,1.875000,0.000000,0.023634
0.200000,0.333937,0.671933,0.337500,1.125000,1.875000,0.000000,0.053628
0.200000,0.595696,0.691402,0.600000,1.500000,1.875000,0.000000,0.094636
0.200000,0.893607,0.726522,0.900000,1.500000,0.000000,-9.375000,0.139700
0.200000,1.189692,0.774690,1.200000,1.500000,0.000000,0.000000,0.182418
0.200000,1.483533,0.835070,1.500000,1.500000,0.000000,0.000000,0.222433
0.200000,1.774831,0.906730,1.800000,1.500000,0.000000,0.000000,0.259480
0.200000,2.063406,0.988680,2.100000,1.500000,0.000000,0.000000,0.293380
0.200000,2.349188,1.079902,2.400000,1.500000,0.000000,0.000000,0.324028
0.200000,2.632207,1.179373,2.700000,1.500000,0.000000,0.000000,0.351382
0.200000,2.912578,1.286088,3.000000,1.500000,0.000000,0.000000,0.375446
0.200000,3.190486,1.399064,3.300000,1.500000,0.000000,0.000000,0.396252
0.200000,3.466176,1.517356,3.600000,1.500000,0.000000,0.000000,0.413855
0.200000,3.739935,1.640052,3.900000,1.500000,0.000000,0.000000,0.428316
0.200000,4.011899,1.758504,4.200000,1.500000,0.000000,0.000000,0.333047
0.200000,4.302913,1.829893,4.500000,1.500000,0.000000,0.000000,0.163910
0.200000,4.600871,1.863976,4.800000,1.500000,0.000000,0.000000,0.074936
0.200000,4.900406,1.880458,5.100000,1.500000,0.000000,0.000000,0.043437
0.200000,5.200056,1.894860,5.400000,1.500000,0.000000,0.000000,0.060734
0.200000,5.498748,1.922159,5.700000,1.500000,0.000000,0.000000,0.131602
0.200000,5.792749,1.980553,6.000000,1.500000,0.000000,0.000000,0.274911
0.200000,6.069875,2.093515,6.300000,1.500000,0.000000,0.000000,0.516993
0.200000,6.302933,2.280300,6.600000,1.500000,0.000000,0.000000,0.841010
0.200000,6.464747,2.531546,6.900000,1.500000,0.000000,0.000000,1.143734
0.200000,6.556357,2.814798,7.198267,1.482672,-0.086641,-0.433206,1.357701
0.200000,6.594132,3.070892,7.457302,1.107672,-1.875000,-8.941794,1.483518
0.200000,6.603843,3.254636,7.641336,0.732672,-1.875000,0.000000,1.549887
0.200000,6.604297,3.363663,7.750370,0.357672,-1.875000,0.000000,1.582660
0.200000,6.603695,3.399427,7.786137,0.000000,-1.788359,0.433206,1.592532
0.200000,6.603695,3.399427,7.786137,0.000000,0.000000,8.941794,1.592532
