dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035887,0.333053,0.037500,0.375000,1.875000,9.375000,0.005420
0.200000,0.154383,0.334776,0.156009,0.592543,1.087717,-3.936414,0.023634
0.200000,0.351626,0.342407,0.353400,0.986954,1.972053,4.421679,0.053628
0.200000,0.626879,0.362878,0.629413,1.380067,1.965565,-0.032442,0.094636
0.200000,0.939559,0.399737,0.944257,1.574222,0.970776,-4.973940,0.139700
0.200000,1.249557,0.450166,1.258330,1.570365,-0.019286,-4.950313,0.182418
0.200000,1.556332,0.513200,1.571514,1.565920,-0.022224,-0.014688,0.222433
0.200000,1.859501,0.587777,1.883722,1.561038,-0.024412,-0.010943,0.259480
0.200000,2.158838,0.672780,2.194894,1.555860,-0.025892,-0.007398,0.293380
0.200000,2.454256,0.767075,2.504996,1.550509,-0.026753,-0.004306,0.324028
0.200000,2.745792,0.869537,2.814013,1.545086,-0.027112,-0.001797,0.351382
0.200000,3.033584,0.979074,3.121946,1.539667,-0.027095,0.000086,0.375446
0.200000,3.317854,1.094635,3.428807,1.534303,-0.026820,0.001376,0.396252
0.200000,3.598883,1.215216,3.734612,1.529025,-0.026391,0.002145,0.413855
0.200000,3.876997,1.339862,4.039381,1.523846,-0.025895,0.002478,0.428316
0.200000,4.119784,1.446637,4.304611,1.326147,-0.988496,-4.813006,0.333047
0.200000,4.356762,1.504317,4.548507,1.219480,-0.533335,2.275807,0.163910
0.200000,4.625577,1.534903,4.819057,1.352749,0.666343,5.998390,0.074936
0.200000,4.914735,1.550770,5.108650,1.447967,0.476093,-0.951251,0.043437
0.200000,5.220085,1.565469,5.414354,1.528519,0.402757,-0.366676,0.060734
0.200000,5.542051,1.595012,5.737672,1.616593,0.440373,0.188080,0.131602
0.200000,5.882331,1.662944,6.084666,1.734971,0.591887,0.757567,0.274911
0.200000,6.232983,1.806643,6.463621,1.894772,0.799008,1.035603,0.516993
0.200000,6.548887,2.060285,6.868750,2.025645,0.654366,-0.723205,0.841010
0.200000,6.765108,2.394860,7.267112,1.991809,-0.169183,-4.117748,1.143734
0.200000,6.878893,2.745007,7.635283,1.840855,-0.754769,-2.927927,1.357701
0.200000,6.922876,3.042126,7.935640,1.501785,-1.695352,-4.702919,1.483518
0.200000,6.933771,3.247736,8.141538,1.029491,-2.361469,-3.330583,1.549887
0.200000,6.934274,3.367578,8.261381,0.599214,-2.151382,1.050434,1.582660
0.200000,6.933617,3.406599,8.300407,0.195131,-2.020415,0.654838,1.592532
0.200000,6.933617,3.406599,8.300407,0.000000,-0.975657,5.223788,1.592532
